ID,question,category
328,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'o reilly s macdevcentre article by daniel h. steinberg jan the program was first sold publicly as keynote. in competing against existing presentation software most notably microsoft powerpoint.' Provide only the simplified text as the response.",simplification
329,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'it formed an administrative county from to after which the entirety of the county was absorbed into the new county of cumbria.' Provide only the simplified text as the response.",simplification
330,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'santa fe high school is located within the city of santa fe springs.' Provide only the simplified text as the response.",simplification
331,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in his own time his reputation far exceeded that of his contemporaries hokusai hiroshige and kuniyoshi.' Provide only the simplified text as the response.",simplification
332,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'he is attracted to her and with jewellery and help from a neighbor martha the devil draws gretchen into faust s arms.' Provide only the simplified text as the response.",simplification
333,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'edward bawden cbe ra lrb rrb was a british painter illustrator and graphic artist.' Provide only the simplified text as the response.",simplification
334,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'reading vocabulary a person s reading vocabulary is all the words he or she can recognize when reading.' Provide only the simplified text as the response.",simplification
335,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'alexain is a commune in the mayenne department in northwestern france.' Provide only the simplified text as the response.",simplification
336,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'for example in pok mon red and blue the player has the choice of starting with bulbasaur squirtle or charmander.' Provide only the simplified text as the response.",simplification
337,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'geography annonay lies a few kilometres from the river rh ne south of lyon and from saint tienne.' Provide only the simplified text as the response.",simplification
338,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the internet archive lrb ia rrb is a nonprofit organization dedicated to building and maintaining a free and openly accessible online digital library including an archive of the world wide web.' Provide only the simplified text as the response.",simplification
339,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'up until most seasons saw only the highest scoring driver in each race for each constructor contributing points towards the championship.' Provide only the simplified text as the response.",simplification
340,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'it is the only national park in india north of the himalayas the largest notified protected area in india lrb and thus the largest national park of india rrb and is the second largest contiguous protected area after the nanda devi biosphere reserve and surrounding protected areas.' Provide only the simplified text as the response.",simplification
341,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'olivia mary de havilland lrb born july rrb is a british american film and stage actress.' Provide only the simplified text as the response.",simplification
342,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'her father francis van arnum brown worked at a number of jobs including as a clerk at the washington patent office and as a manager and salesman for a wholesale butcher.' Provide only the simplified text as the response.",simplification
343,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the kalabhras were displaced around the th century with the revival of pallava and pandya power.' Provide only the simplified text as the response.",simplification
344,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'let s go was certified gold on july and with the success of the album the band was pursued by a number of major record labels including madonna s label maverick records.' Provide only the simplified text as the response.",simplification
345,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'because the individual lenses are so small the effects of diffraction impose a limit on the possible resolution that can be obtained.' Provide only the simplified text as the response.",simplification
346,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in the hawaiian language honolulu means sheltered bay or place of shelter.' Provide only the simplified text as the response.",simplification
347,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'lauren bacall lrb born september rrb is an american film and stage actress and model known for her distinctive husky voice and sultry looks.' Provide only the simplified text as the response.",simplification
348,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'monts rs is a commune in the mayenne department in northwestern france.' Provide only the simplified text as the response.",simplification
349,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'there are communes in the province lrb source italian institute of statistics istat see this link rrb.' Provide only the simplified text as the response.",simplification
350,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'leandro montera da silva or simply leandro lrb born february rrb is a brazilian striker.' Provide only the simplified text as the response.",simplification
351,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'deryck jason whibley lrb born march rrb is a canadian musician and producer best known for his work as the guitarist and lead vocalist songwriter and producer of the multi juno award winning pop punk band sum.' Provide only the simplified text as the response.",simplification
352,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'setting up a system of rules institutions and procedures to regulate the international monetary system the planners at bretton woods established the international monetary fund lrb imf rrb and the international bank for reconstruction and development lrb ibrd rrb which today is part of the world bank group.' Provide only the simplified text as the response.",simplification
353,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in general archives consist of records which have been selected for permanent or long term preservation due to their enduring research value.' Provide only the simplified text as the response.",simplification
354,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in captain william brown of england was the first foreigner to sail into what is now honolulu harbor.' Provide only the simplified text as the response.",simplification
355,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the signing caused a rift between soundgarden and its traditional audience.' Provide only the simplified text as the response.",simplification
356,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'one litre of water has a mass of almost exactly one kilogram when measured at its maximal density which occurs at about degrees celsius.' Provide only the simplified text as the response.",simplification
357,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'jordanhill railway station is a side platformed suburban railway station in the jordanhill area in the west end of glasgow scotland.' Provide only the simplified text as the response.",simplification
358,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the american hockey league lrb ahl rrb is a team professional ice hockey league based in the united states and canada that serves as the primary developmental circuit for the national hockey league lrb nhl rrb.' Provide only the simplified text as the response.",simplification
359,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the aurochs originally ranged throughout europe north africa and much of asia. in historical times its range became restricted to europe and the last known individual died in masovia poland in about.' Provide only the simplified text as the response.",simplification
360,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'rolling stock munich u bahn uses three different generations of electric multiple unit trains.' Provide only the simplified text as the response.",simplification
361,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the inhabitants of the town of saint marcel d ard che are marcellois st. san marcelloises.' Provide only the simplified text as the response.",simplification
362,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'st benedict biscop was adopted as the city s patron saint in march.' Provide only the simplified text as the response.",simplification
363,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'world trade center formerly the freedom tower is the main building of the new world trade center under construction in lower manhattan in new york city usa.' Provide only the simplified text as the response.",simplification
364,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in thile teamed up with mandolinist mike marshall for the duet album into the cauldron which included original pieces as well as pieces by charlie parker and j. s. bach.' Provide only the simplified text as the response.",simplification
365,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the mexicans settle chapultepec a former toltec stronghold.' Provide only the simplified text as the response.",simplification
366,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the name potassium comes from the word potash davy lrb o o rrb p..' Provide only the simplified text as the response.",simplification
367,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the main rivalry heading into armageddon on the smackdown brand was a match involving three competitors known as a triple threat match in wwe for the wwe championship between edge triple h and jeff hardy.' Provide only the simplified text as the response.",simplification
368,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'today s hopwood is the location of hopwood park services a motorway service station on the m motorway.' Provide only the simplified text as the response.",simplification
369,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'it belongs to the indo aryan branch of the indo european languages.' Provide only the simplified text as the response.",simplification
370,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'he was first granted land in van diemen s land in which he exchanged for land near lake george in.' Provide only the simplified text as the response.",simplification
371,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'carolina evelyn kl ft lrb rrb lrb born february rrb is a swedish athlete competing in triple jump long jump and formerly in heptathlon and pentathlon.' Provide only the simplified text as the response.",simplification
372,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'ndash the treaty of amiens is signed as a definitive treaty of peace between france and the kingdom of great britain and ireland.' Provide only the simplified text as the response.",simplification
373,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the government has created an annual speak good english movement to emphasise the point.' Provide only the simplified text as the response.",simplification
374,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the allied powers who defeated nazi germany in world war ii divided the country west of the oder neisse line into four occupation zones for administrative purposes during the period.' Provide only the simplified text as the response.",simplification
375,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'marie clotilde of france lrb marie ad la de clotilde xavi re september march rrb known as madame clotilde was a french princess who became queen of sardinia as clotilda in. she was the younger sister of louis xvi of france and later the wife of charles emmanuel iv of sardinia.' Provide only the simplified text as the response.",simplification
376,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'true crabs are decapod crustaceans of the infraorder brachyura which typically have a very short projecting tail lrb short tail rrb or where the reduced abdomen is entirely hidden under the thorax.' Provide only the simplified text as the response.",simplification
377,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'novartis international ag is a multinational pharmaceutical company based in basel switzerland ranking number three in sales among the world wide industry which accounted. billon in.' Provide only the simplified text as the response.",simplification
378,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the exxon mobil corporation or exxonmobil is an american oil and gas corporation.' Provide only the simplified text as the response.",simplification
379,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'however in phoenix dropped to second place with. per lrb behind modesto california rrb although total car thefts rose to.' Provide only the simplified text as the response.",simplification
380,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'sixty gallons of water had to be removed from the national weather service office in galveston this weather office also temporarily lost its radar.' Provide only the simplified text as the response.",simplification
381,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'it is also the judicial capital making it one of the three national capitals of south africa lrb together with the administrative capital pretoria and the legislative capital cape town rrb.' Provide only the simplified text as the response.",simplification
382,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'gparted and kde partition manager are graphical programs using the parted libraries.' Provide only the simplified text as the response.",simplification
383,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'however when william had to go to military she governed alone.' Provide only the simplified text as the response.",simplification
384,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'this act brought the united states into world war ii.' Provide only the simplified text as the response.",simplification
385,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'she frequently appears on television radio and as a speaker at public events and private events.' Provide only the simplified text as the response.",simplification
386,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'trilobites lrb pronounced meaning three lobes rrb are a well known fossil group of extinct marine arthropods that form the class trilobita.' Provide only the simplified text as the response.",simplification
387,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'bakhshali today in march there were attacks made on music shops in bakhshali.' Provide only the simplified text as the response.",simplification
388,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the key principle of wisdom literature is that while techniques of traditional story telling are used books also presume to offer insight and wisdom about nature and reality.' Provide only the simplified text as the response.",simplification
389,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'mikroglottika an international journal of minority language philologies is a linguistic journal about minority languages.' Provide only the simplified text as the response.",simplification
390,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'stuart is the only city in martin county florida on florida s treasure coast.' Provide only the simplified text as the response.",simplification
391,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the city of bradford is a local government district in west yorkshire england that is a metropolitan borough with the status of a city.' Provide only the simplified text as the response.",simplification
392,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'thallium lrb i rrb sulfate lrb tl so rrb archaically known as thallous sulfate is the sulfate salt of thallium.' Provide only the simplified text as the response.",simplification
393,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'long undisturbed by tectonic activity the peninsula is an extremely eroded almost level low plain dominated by mighty meandering rivers and vast floodplains with some very low hills rising to some m elevation in the mcilwraith range on the eastern side around coen.' Provide only the simplified text as the response.",simplification
394,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'expanding his interest in the neglected area of chamber music brain formed a wind quintet with his brother in.' Provide only the simplified text as the response.",simplification
395,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'attock lrb urdu rrb lrb formerly campbellpur rrb is a city located in the northern border of the punjab province of pakistan and the headquarters of attock district.' Provide only the simplified text as the response.",simplification
396,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'independent music awards past judges in thile formed the how to grow a band with whom he recorded how to grow a woman from the ground thile s fifth album.' Provide only the simplified text as the response.",simplification
397,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'mario basler lrb born december in neustadt an der weinstra e germany rrb is a german former football winger who is now manager of wacker burghausen.' Provide only the simplified text as the response.",simplification
398,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'shogh effend rabb n lrb march november rrb better known as shoghi effendi was the guardian and appointed head of the bah faith from until his death in.' Provide only the simplified text as the response.",simplification
399,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'it is bordered by germany to the southwest west and northwest poland to the north east the czech historical region of moravia to the east and austria to the south.' Provide only the simplified text as the response.",simplification
400,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'he was inducted into the baseball hall of fame in his first year of eligibility.' Provide only the simplified text as the response.",simplification
401,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the riots the rice riots were unparalleled in modern japanese history in terms of scope size and violence.' Provide only the simplified text as the response.",simplification
402,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'giza is most famous as the location of the giza plateau the site of some of the most impressive ancient monuments in the world including a complex of ancient egyptian royal mortuary and sacred structures including the great sphinx the great pyramid of giza and a number of other large pyramids and temples.' Provide only the simplified text as the response.",simplification
403,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'dia public web page this is dia the defense intelligence community is headed by the dia through its director lrb who chairs the military intelligence board rrb and coordinates the activities of the army navy marine corps and air force intelligence components.' Provide only the simplified text as the response.",simplification
404,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'media local media include the namoi valley independent newspaper and the radio stations mo and ggg.' Provide only the simplified text as the response.",simplification
405,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in this way the united kingdom became the union of the kingdoms of england ireland and scotland. disputes within ireland over the terms of irish home rule led eventually to the partition of the island in with dominion status for the irish free state in while northern ireland remained part of the uk.' Provide only the simplified text as the response.",simplification
406,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'while walking along the beach rocks aras slipped and sliced open his hand and back requiring a total of eight stitches.' Provide only the simplified text as the response.",simplification
407,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'during that time she fostered a close relationship with zhou enlai and was on familiar terms with mao zedong.' Provide only the simplified text as the response.",simplification
408,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'divorcing cassidy in she later married comic actor marty ingels on november.' Provide only the simplified text as the response.",simplification
409,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'throughout its seven seasons and a total of episodes buffy and by extension gellar became cult icons in the united states canada the uk and australia particularly as an archetype of an empowered woman.' Provide only the simplified text as the response.",simplification
410,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the film s animation technique combines traditional hand drawn animation and extensive use of computer generated imagery.' Provide only the simplified text as the response.",simplification
411,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the maldives national football team is the national team of the maldives and is controlled by the football association of maldives.' Provide only the simplified text as the response.",simplification
412,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'versainville is a commune in the calvados department in the basse normandie region in northwestern france.' Provide only the simplified text as the response.",simplification
413,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in physiology a signal or biopotential is an electric quantity lrb voltage or current or field strength rrb caused by chemical reactions of charged ions.' Provide only the simplified text as the response.",simplification
414,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'ch lons en champagne is a city in france.' Provide only the simplified text as the response.",simplification
415,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'shaun of the dead is a british romantic zombie comedy directed by edgar wright starring simon pegg and nick frost and written by pegg and wright.' Provide only the simplified text as the response.",simplification
416,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'max tonetto lrb born november in trieste rrb is an italian football defender.' Provide only the simplified text as the response.",simplification
417,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'using this definition the flux of the poynting vector over a specified surface is the rate at which electromagnetic energy flows through that surface.' Provide only the simplified text as the response.",simplification
418,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'ndash jonas savimbi angolan political leader lrb d. rrb' Provide only the simplified text as the response.",simplification
419,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'kvirc is able to connect to several servers at the same time lrb optionally with ssl and or over ipv rrb.' Provide only the simplified text as the response.",simplification
420,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the operations of vector addition and scalar multiplication have to satisfy certain requirements called axioms listed below. an example of a vector space is that of euclidean vectors which are often used to represent physical quantities such as forces any two forces lrb of the same type rrb can be added to yield a third and the multiplication of a force vector by a real factor is another force vector.' Provide only the simplified text as the response.",simplification
421,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'his performances of bach beethoven brahms mozart haydn schumann wagner and carl orff are also notable.' Provide only the simplified text as the response.",simplification
422,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'kunie kitamoto is a japanese football player who plays for vissel kobe.' Provide only the simplified text as the response.",simplification
423,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'wwe released a complete dvd box set entitled royal rumble the complete anthology which showcases every royal rumble event in its entirety up to the royal rumble on march.' Provide only the simplified text as the response.",simplification
424,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'he first married amie gertrude lathe lrb rrb around in boston massachusetts.' Provide only the simplified text as the response.",simplification
425,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'both the geographic center of the contiguous u.s. and the population center of the u.s. are in the midwest.' Provide only the simplified text as the response.",simplification
426,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'in cordes received its charter to become a bastide lrb fortified town rrb from the count of toulouse.' Provide only the simplified text as the response.",simplification
427,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'gilbert was a taxidermist for the zoological society of london where he met john gould.' Provide only the simplified text as the response.",simplification
428,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'costa coffee is a coffee house company based in the united kingdom founded in by italian brothers sergio and bruno costa as a wholesale operation supplying roasted coffee to caterers and specialist italian coffee shops.' Provide only the simplified text as the response.",simplification
429,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'example walnuts and hickories belong to the juglandaceae or walnut family.' Provide only the simplified text as the response.",simplification
430,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'events may battle of dandanaqan seljuk turks defeat the ghaznavids.' Provide only the simplified text as the response.",simplification
431,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'amanda peet lrb born january rrb is an american actress.' Provide only the simplified text as the response.",simplification
432,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'the national mint also issued special commemorative silver coins to mark his birthday.' Provide only the simplified text as the response.",simplification
433,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'and committed to the imprisonment of the bishop of london.' Provide only the simplified text as the response.",simplification
434,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'bricqueville is a commune in the calvados department in the basse normandie region in northwestern france.' Provide only the simplified text as the response.",simplification
435,"Simplify the following text to improve its readability, ensuring its core meaning remains intact: 'to make the feat even more memorable ripken hit a home run in the previous night s game that tied gehrig s record and another home run in his st game which fans later voted as major league baseball s most memorable moment in mlb history.' Provide only the simplified text as the response.",simplification
