ID,source,context,prequestion,options,answer,question,
337,RECLOR,"Business ethicist: Managers of corporations have an obligation to serve shareholders as the shareholders would want to be served. Ttherefore, corporate managers have an obligation to act in the shareholders' best interest.",The business ethicist's conclusion follows logically if which one of the following is assumed?,"['A. Shareholders would want to be served only in ways that are in their own best interest.', 'B. Corporate managers are always able to discern what is in the best interest of shareholders.', 'C. All shareholders want to be served in identical ways.', 'D. The shareholders have interests that can best be served by corporate managers.']",A,"Read the following context:Business ethicist: Managers of corporations have an obligation to serve shareholders as the shareholders would want to be served. Ttherefore, corporate managers have an obligation to act in the shareholders' best interest.Now please respond:The business ethicist's conclusion follows logically if which one of the following is assumed?",
338,RECLOR,"Appendicitis (inflammation of the appendix) is potentially fatal; consequently, patients with symptoms strongly suggesting appendicitis almost always have their appendix removed. The appropriate surgery is low-risk but performed unnecessarily in about 20 percent of all cases. A newly developed internal scan for appendicitis is highly accurate, producing two misdiagnoses for every 98 correct diagnoses. Clearly, using this test, doctors can largely avoid unnecessary removals of the appendix without, however, performing any fewer necessary ones than before, since __.",Which of the following most logically completes the passage?,"['A. all of the patients who are diagnosed with this test as having appendicitis do, in fact, have appendicitis', 'B. the misdiagnoses produced by this test are always instances of attributing appendicitis to someone who does not, in fact, have it', 'C. every patient who is diagnosed with this test as having appendicitis has more than one of the symptoms generally associated with appendicitis', 'D. the only patients who are misdiagnosed using this test are patients who lack one or more of the symptoms that are generally associated with appendicitis']",B,"Read the following context:Appendicitis (inflammation of the appendix) is potentially fatal; consequently, patients with symptoms strongly suggesting appendicitis almost always have their appendix removed. The appropriate surgery is low-risk but performed unnecessarily in about 20 percent of all cases. A newly developed internal scan for appendicitis is highly accurate, producing two misdiagnoses for every 98 correct diagnoses. Clearly, using this test, doctors can largely avoid unnecessary removals of the appendix without, however, performing any fewer necessary ones than before, since __.Now please respond:Which of the following most logically completes the passage?",
339,RECLOR,"Professor Riley characterized the university president' s speech as inflammatory and argued that it was ttherefore inappropriate. However, Riley has had a long-standing feud with the president, and so we should not conclude that her speech was inflammatory solely on the basis of Riley' s testimony. Ttherefore, unless there are independent reasons to deem the president' s speech inflammatory, it is not true that her speech was inappropriate.",The argument is flawed in that it,"['A. fails to adequately address the possibility that inflammatory speeches may be appropriate for some audiences', ""B. fails to adequately address the possibility that Riley's animosity toward the university president is well founded"", ""C. concludes that Riley's claim is false merely on the grounds that Riley has something to gain if the claim is accepted as true"", 'D. takes for granted that the speech could not be inappropriate if it was not inflammatory']",D,"Read the following context:Professor Riley characterized the university president' s speech as inflammatory and argued that it was ttherefore inappropriate. However, Riley has had a long-standing feud with the president, and so we should not conclude that her speech was inflammatory solely on the basis of Riley' s testimony. Ttherefore, unless there are independent reasons to deem the president' s speech inflammatory, it is not true that her speech was inappropriate.Now please respond:The argument is flawed in that it",
340,RECLOR,"Historian: During the Industrial Revolution, for the first time in history, the productivity of the economy grew at a faster rate than the population and thus dramatically improved living standards. An economist theorizes that this growth was made possible by the spread of values such as hard work and thrift. But successful explanations need to be based on facts, so no one should accept this explanation until historical evidence demonstrates that a change in values occurred prior to the Industrial Revolution.",The overall conclusion of the historian's argument is that,"[""A. no one should accept the economist's explanation until historical evidence demonstrates that a change in values occurred prior to the Industrial Revolution"", 'B. during the Industrial Revolution the productivity of the economy grew at a faster rate than the population', 'C. the improvement in living standards that occurred during the Industrial Revolution was not due to the spread of a change in values', 'D. values such as hard work and thrift did not become widespread prior to the Industrial Revolution']",A,"Read the following context:Historian: During the Industrial Revolution, for the first time in history, the productivity of the economy grew at a faster rate than the population and thus dramatically improved living standards. An economist theorizes that this growth was made possible by the spread of values such as hard work and thrift. But successful explanations need to be based on facts, so no one should accept this explanation until historical evidence demonstrates that a change in values occurred prior to the Industrial Revolution.Now please respond:The overall conclusion of the historian's argument is that",
341,RECLOR,"No one wants this job as much as Joshua does, but he is not applying for it. It follows that there will not be any applicants, no matter how high the salary that is being offered.",The flawed reasoning in the argument above most closely parallels that in which one of the following?,"[""A. Although he has the strongest motive of anyone for buying Anna's plot of land, Manfred is not pursuing the matter. Ttherefore, regardless of how low a price Anna is prepared to accept, she will be looking for a buyer in vain."", 'B. Beth knows better than anyone else how to spot errors in a computer program, yet even she has not found any in this program so far. So it is clear that the errors must all be in the rest of the program.', 'C. Three times Paul would have liked to take advantage of a special vacation package for himself and his family, but each time he was indispensable at the factory just then. So the more seniority Paul acquires, the greater are the constraints on his personal life.', 'D. If anyone can decipher this inscription, it is Professor Alvarez, but she is so involved with her new research that it will be impossible to interest her in this sort of task. Ttherefore, all we can do now is hope to find someone else.']",A,"Read the following context:No one wants this job as much as Joshua does, but he is not applying for it. It follows that there will not be any applicants, no matter how high the salary that is being offered.Now please respond:The flawed reasoning in the argument above most closely parallels that in which one of the following?",
342,RECLOR,"Over the last thousand years, plant species native to islands have gone extinct at a much faster rate than have those native to mainland regions. Biologists believe that this is because island plants have not adapted the defenses against being eaten by large land mammals that mainland plants have. Ordinarily, populations of large land mammals are not established on islands until after the island is colonized by humans. Which one of the following.","if true, most strongly supports the biologist's explanation cited above?","['A. Large land mammals tend to prefer plants from species native to mainland regions over plants from species native to islands.', 'B. The rate of extinction of native plant species on an island tends to increase dramatically after human colonization.', 'C. Many plant species that are not native to islands have become very well established on islands throughout the world.', 'D. Most of the plant species in the world that have not yet gone extinct are native to mainland regions.']",B,"Read the following context:Over the last thousand years, plant species native to islands have gone extinct at a much faster rate than have those native to mainland regions. Biologists believe that this is because island plants have not adapted the defenses against being eaten by large land mammals that mainland plants have. Ordinarily, populations of large land mammals are not established on islands until after the island is colonized by humans. Which one of the following.Now please respond:if true, most strongly supports the biologist's explanation cited above?",
343,RECLOR,"Scientists have recently discovered that, in doses massive enough to kill cells, almost any chemical is carcinogenic because cell death causes rapid division among surviving cells, promoting cancer-causing mutations. A few chemicals are also carcinogenic without causing cell death. Until now studies of the carcinogenicity of food additives have always involved administering to test animals doses of additives larger than the largest possible human exposure levels and massive enough to kill large numbers of cells in the animals, and then observing the animals' cancer rates.","If the statements above are true, which one of the following conclusions is most strongly supported by them?","['A. Carcinogenic chemicals are usually absorbed in small doses in the natural environment.', 'B. Most of the food additives that are now banned because of carcinogenicity could safely be used in human foods.', 'C. In the doses heretofore used in carcinogenicity studies of food additives, cell death often does not occur in test animals.', 'D. Until now results of carcinogenicity studies encouraged overestimation of the degree to which some food additives are carcinogenic.']",D,"Read the following context:Scientists have recently discovered that, in doses massive enough to kill cells, almost any chemical is carcinogenic because cell death causes rapid division among surviving cells, promoting cancer-causing mutations. A few chemicals are also carcinogenic without causing cell death. Until now studies of the carcinogenicity of food additives have always involved administering to test animals doses of additives larger than the largest possible human exposure levels and massive enough to kill large numbers of cells in the animals, and then observing the animals' cancer rates.Now please respond:If the statements above are true, which one of the following conclusions is most strongly supported by them?",
344,RECLOR,"Commentator: Because of teacher hiring freezes, the quality of education in that country will not improve. Thus, it will surely deteriorate.",The flawed reasoning in which one of the following is most similar to that in the commentator's argument?,"['A. Since funding levels for social programs are being frozen, our society will not become more harmonious. Thus, it may become more discordant.', 'B. Given that over 250 years of attempts to prove the Goldbach conjecture have failed, it will probably never be proved. Hence, it is more likely to be disproved than proved.', 'C. Because Raoul is a vegetarian, he will not have the pepperoni pizza for lunch. It follows that he will have the cheese pizza.', 'D. Since there is a storm moving in, the outside temperature cannot rise this afternoon. Ttherefore, it must fall.']",D,"Read the following context:Commentator: Because of teacher hiring freezes, the quality of education in that country will not improve. Thus, it will surely deteriorate.Now please respond:The flawed reasoning in which one of the following is most similar to that in the commentator's argument?",
345,RECLOR,"Kernland imposes a high tariff on the export of unprocessed cashew nuts in order to ensure that the nuts are sold to domestic processing plants. If the tariff were lifted and unprocessed cashews were sold at world market prices, more farmers could profit by growing cashews. However, since all the processing plants are in urban areas, removing the tariff would seriously hamper the government' s effort to reduce urban unemployment over the next five years.","Which of the following, if true, most seriously weakens the argument?","['A. Buying unprocessed cashews at lower than world market prices enables cashew processors in Kernland to sell processed nuts at competitive prices.', 'B. A lack of profitable crops is driving an increasing number of small farmers in Kernland off their land and into the cities.', 'C. Other countries in which cashews are processed subsidize their processing plants.', 'D. Some of the by-products of processing cashews are used for manufacturing paints and plastics.']",B,"Read the following context:Kernland imposes a high tariff on the export of unprocessed cashew nuts in order to ensure that the nuts are sold to domestic processing plants. If the tariff were lifted and unprocessed cashews were sold at world market prices, more farmers could profit by growing cashews. However, since all the processing plants are in urban areas, removing the tariff would seriously hamper the government' s effort to reduce urban unemployment over the next five years.Now please respond:Which of the following, if true, most seriously weakens the argument?",
346,RECLOR,"The children in the second grade at a local elementary school scored lower on tests of math skills this year than the second graders did last year. The school board blames the disappointing results on the budget cuts that forced the school to consolidate several classes of second-grade students, thus depriving them of the individualized attention that they had previously enjoyed.","Which of the following, if true, best supports the explanation offered by the school board for the students' lower test scores?","['A. The test that the second graders took this year was not more difficult than the test that the second graders took last year.', 'B. Students at other elementary schools in the area also scored poorly on the same test of math skills this year.', 'C. No new textbooks were purchased by the school board this year.', 'D. Other schools in the area also experienced severe budget cuts.']",A,"Read the following context:The children in the second grade at a local elementary school scored lower on tests of math skills this year than the second graders did last year. The school board blames the disappointing results on the budget cuts that forced the school to consolidate several classes of second-grade students, thus depriving them of the individualized attention that they had previously enjoyed.Now please respond:Which of the following, if true, best supports the explanation offered by the school board for the students' lower test scores?",
347,RECLOR,"The true scientific significance of a group of unusual fossils discovered by the paleontologist Charles Walcott is more likely to be reflected in a recent classification than it was in Walcott' s own classification. Walcott was, after all, a prominent member of the scientific establishment. His classifications are thus unlikely to have done anything but confirm what established science had already taken to be true.",Which one of the following most accurately describes a questionable technique used in the argument?,"['A. It analyzes the past on the basis of social and political categories that properly apply only to the present and uses the results of this analysis to support its conclusion.', 'B. It cites two pieces of evidence, each of which is both questionable and unverifiable, and uses this evidence to support its conclusions.', ""C. It draws conclusions about the merit of a position and about the content of that position from evidence about the position's source."", 'D. It bases a conclusion on two premises that contradict each other and minimizes this contradiction by the vagueness of the terms employed.']",C,"Read the following context:The true scientific significance of a group of unusual fossils discovered by the paleontologist Charles Walcott is more likely to be reflected in a recent classification than it was in Walcott' s own classification. Walcott was, after all, a prominent member of the scientific establishment. His classifications are thus unlikely to have done anything but confirm what established science had already taken to be true.Now please respond:Which one of the following most accurately describes a questionable technique used in the argument?",
348,RECLOR,"As many as 98, 000 people die each year due to medical error. In a campaign to reduce lethal errors, thousands of hospitals introduced six key changes, including rapid-response teams, re-checks of patient medication, and new guidelines for preventing infection. The campaign estimated that, over an 18-month period, more than 100, 000 lives were saved as a direct result of the program.",Which of the following can be most properly inferred from the above statements?,"['A. If the campaign had not been implemented, more than 100, 000 people might have died during the 18-month period due to medical error.', 'B. The key changes initiated by the campaign will continue to be implemented in the future.', 'C. In the future, no one will die because of medical error.', 'D. The campaign saved all of the people who otherwise would have died due to medical error in that time period.']",A,"Read the following context:As many as 98, 000 people die each year due to medical error. In a campaign to reduce lethal errors, thousands of hospitals introduced six key changes, including rapid-response teams, re-checks of patient medication, and new guidelines for preventing infection. The campaign estimated that, over an 18-month period, more than 100, 000 lives were saved as a direct result of the program.Now please respond:Which of the following can be most properly inferred from the above statements?",
349,RECLOR,"The elementary schools in district X began a new athletic program where students participated in school-sponsored sports at least three times per week. During this last school year, the number of obese students attending elementary schools in district X decreased substantially. Based on these figures, the district' s superintendent decided that the new athletic program was more effectual in keeping children, at least while in elementary school, from being obese.","All of the following, if true, weaken the superintendent's conclusion EXCEPT:","['A. The government, during this last school year, began requiring monthly weigh-ins for obese children and parental counseling about proper nutrition.', ""B. A large number of the obese children's conditions were caused by depression, which was greatly alleviated by installing psychiatrists in each elementary school in district X."", 'C. Obesity, like other unhealthy conditions, can lead to decreased cardiovascular health, increased joint pain, and self-esteem problems.', 'D. Over the last year, parents with obese children in district X began sending their children to special weekend camps designed to help children lose weight.']",C,"Read the following context:The elementary schools in district X began a new athletic program where students participated in school-sponsored sports at least three times per week. During this last school year, the number of obese students attending elementary schools in district X decreased substantially. Based on these figures, the district' s superintendent decided that the new athletic program was more effectual in keeping children, at least while in elementary school, from being obese.Now please respond:All of the following, if true, weaken the superintendent's conclusion EXCEPT:",
350,RECLOR,The traditional view of the Roman emperor Caligula as a cruel and insane tyrant has been challenged by some modern historians. They point out that little documentation of Caligula' s alleged cruelty or outrageous behavior survives from the time of his reign and that the histories that have come down to us were written by his enemies.,"Which one of the following, if true, adds the most support for the challenge from the modem historians?","['A. People who have lived under someone regarded as a cruel tyrant are more likely to view that person unfavorably than favorably.', 'B. The specific outrageous acts attributed to Caligula in Roman documentation are very similar to acts attributed in earlier writings to other rulers alleged to be cruel tyrants.', ""C. There is less documentation of any sort from Caligula's reign than from the reigns of most other Roman emperors of Caligula's era."", 'D. There is ample documentation of modern tyrants being responsible for outrageous acts worse than those attributed to Caligula.']",B,"Read the following context:The traditional view of the Roman emperor Caligula as a cruel and insane tyrant has been challenged by some modern historians. They point out that little documentation of Caligula' s alleged cruelty or outrageous behavior survives from the time of his reign and that the histories that have come down to us were written by his enemies.Now please respond:Which one of the following, if true, adds the most support for the challenge from the modem historians?",
351,RECLOR,"In the past the country of Siduria has relied heavily on imported oil. Siduria recently implemented a program to convert heating systems from oil to natural gas. Siduria already produces more natural gas each year than it burns, and oil production in Sidurian oil fields is increasing at a steady pace. If these trends in fuel production and usage continue, ttherefore, Sidurian reliance on foreign sources for fuel should decline soon.",Which of the following is an assumption on which the argument depends?,"['A. Buildings cannot be heated by solar energy rather than by oil or natural gas.', 'B. No fuel other than natural gas is expected to be used as a replacement for oil in Siduria.', 'C. In Siduria the rate of fuel consumption is rising no more quickly than the rate of fuel production.', 'D. All new homes that are being built will have natural-gas-burning heating systems.']",C,"Read the following context:In the past the country of Siduria has relied heavily on imported oil. Siduria recently implemented a program to convert heating systems from oil to natural gas. Siduria already produces more natural gas each year than it burns, and oil production in Sidurian oil fields is increasing at a steady pace. If these trends in fuel production and usage continue, ttherefore, Sidurian reliance on foreign sources for fuel should decline soon.Now please respond:Which of the following is an assumption on which the argument depends?",
352,RECLOR,"Biologists agree that human beings evolved from a fish, but they disagree about which species of fish. Since biologists agree that frogs are definitely related to the species of fish from which human beings evolved, on the basis of a close match between the mitochondrial DNA of lungfish and that of frogs Dr. Stevens-Hoyt claims that this ancestor must be lungfish. Dr. Grover, on the other hand, contends that mitochondrial DNA evolves too rapidly to be a reliable indicator of relationships between species over long periods of time, and citing the close chemical match between the hemoglobin of coelacanths (a saltwater fish) and that of tadpoles, claims that human beings must be descended from coelacanths.",Which one of the following most accurately describes the role played in the dispute above by the proposition that frogs are definitely related to the species of fish from which human beings evolved?,"['A. It is offered as evidence for the contention that human beings must be descended from either lungfish or coelacanths.', 'B. Since it implies that human beings are not descended from lungfish, it is cited as evidence against the claim that humans are descended from lungfish.', 'C. It is an assumption that both parties to the dispute use as a starting point for their arguments about human evolution.', 'D. It implies that either a match of mitochondrial DNA or a match of hemoglobin between lungfish and coelacanths would show that human beings evolved from one of these two species.']",C,"Read the following context:Biologists agree that human beings evolved from a fish, but they disagree about which species of fish. Since biologists agree that frogs are definitely related to the species of fish from which human beings evolved, on the basis of a close match between the mitochondrial DNA of lungfish and that of frogs Dr. Stevens-Hoyt claims that this ancestor must be lungfish. Dr. Grover, on the other hand, contends that mitochondrial DNA evolves too rapidly to be a reliable indicator of relationships between species over long periods of time, and citing the close chemical match between the hemoglobin of coelacanths (a saltwater fish) and that of tadpoles, claims that human beings must be descended from coelacanths.Now please respond:Which one of the following most accurately describes the role played in the dispute above by the proposition that frogs are definitely related to the species of fish from which human beings evolved?",
353,RECLOR,"It is well documented that people have positive responses to some words, such as ""kind"" and ""wonderful, "" and negative responses to others, such as ""evil"" and ""nausea. "" Recently, psychological experiments have revealed that people also have positive or negative responses to many nonsense words. This shows that people' s responses to words are conditioned not only by what the words mean, but also by how they sound.",The claim that people have positive or negative responses to many nonsense words plays which one of the following roles in the argument?,"[""A. It is a conclusion for which the only support provided is the claim that people's responses to words are conditioned both by what the words mean and by how they sound."", 'B. It is a generalization partially supported by the claim that meaningful words can trigger positive or negative responses in people.', ""C. It is a premise offered in support of the conclusion that people's responses to words are engendered not only by what the words mean, but also by how they sound."", 'D. It is a premise offered in support of the conclusion that people have either a positive or a negative response to any word.']",C,"Read the following context:It is well documented that people have positive responses to some words, such as ""kind"" and ""wonderful, "" and negative responses to others, such as ""evil"" and ""nausea. "" Recently, psychological experiments have revealed that people also have positive or negative responses to many nonsense words. This shows that people' s responses to words are conditioned not only by what the words mean, but also by how they sound.Now please respond:The claim that people have positive or negative responses to many nonsense words plays which one of the following roles in the argument?",
354,RECLOR,"Because of strong overall stylistic similarities, prehistoric cave paintings in El Castillo, Spain and others in Altamira, Spain, were thought to date from the same period. Recent pigment analyses, however, established the Altamira paintings as by far the older and as about the same age as a third group of paintings done in a different overall style. Nevertheless, this case does not prove that stylistic similarities cannot be a reliable indicator of closeness in age, since __.",Which of the following most logically completes the passage?,"['A. Determining the age of a prehistoric cave painting simply by reference to the age of the pigments used in that painting substitutes technology for artistic judgment', 'B. Experts who knew the results of the pigment analyses reexamined these paintings and found no previously unnoticed stylistic similarities between the Altamira paintings and the paintings in the third group', 'C. There are experts who maintain that the results of the recent pigment analyses leave the striking stylistic similarities between the El Castillo paintings and the Altamira paintings unexplained', 'D. There are certain stylistic features that the Altamira paintings share with all known paintings of their period and do not share with the El Castillo paintings']",D,"Read the following context:Because of strong overall stylistic similarities, prehistoric cave paintings in El Castillo, Spain and others in Altamira, Spain, were thought to date from the same period. Recent pigment analyses, however, established the Altamira paintings as by far the older and as about the same age as a third group of paintings done in a different overall style. Nevertheless, this case does not prove that stylistic similarities cannot be a reliable indicator of closeness in age, since __.Now please respond:Which of the following most logically completes the passage?",
355,RECLOR,"Researchers have found that when very overweight people, who tend to have relatively low metabolic rates, lose weight primarily through dieting, their metabolisms generally remain unchanged. They will thus burn significantly fewer calories at the new weight than do people whose weight is normally at that level. Such newly thin persons will, ttherefore, ultimately regain weight until their body size again matches their metabolic rate.",The conclusion of the argument above depends on which of the following assumptions?,"['A. The amount of calories that a person usually burns in a day is determined more by the amount that is consumed that day than by the current weight of the individual.', 'B. The metabolisms of people who are usually not overweight are much more able to vary than the metabolisms of people who have been very overweight.', 'C. Researchers have not yet determined whether the metabolic rates of formerly very overweight individuals can be accelerated by means of chemical agents.', 'D. Relatively few very overweight people who have dieted down to a new weight tend to continue to consume substantially fewer calories than do people whose normal weight is at that level.']",D,"Read the following context:Researchers have found that when very overweight people, who tend to have relatively low metabolic rates, lose weight primarily through dieting, their metabolisms generally remain unchanged. They will thus burn significantly fewer calories at the new weight than do people whose weight is normally at that level. Such newly thin persons will, ttherefore, ultimately regain weight until their body size again matches their metabolic rate.Now please respond:The conclusion of the argument above depends on which of the following assumptions?",
356,RECLOR,"Advertisement: In today' s world, you make a statement about the person you are by the car you own. The message of the SKX Mach-5 is unambiguous: Its owner is Dynamic, Aggressive, and Successful.","Shouldn't you own an SKX Mach-5? If the claims made in the advertisement are true, which one of the following must also be true on the basis of them?","['A. Anyone who is not both dynamic and successful would misrepresent himself or herself by being the owner of an SKX Mach-5.', 'B. People who buy the SKX Mach-5 are usually more aggressive than people who buy other cars.', 'C. Almost no one would fail to recognize the kind of person who would choose to own an SKX Mach-5.', 'D. Anyone who is dynamic and aggressive is also successful.']",A,"Read the following context:Advertisement: In today' s world, you make a statement about the person you are by the car you own. The message of the SKX Mach-5 is unambiguous: Its owner is Dynamic, Aggressive, and Successful.Now please respond:Shouldn't you own an SKX Mach-5? If the claims made in the advertisement are true, which one of the following must also be true on the basis of them?",
357,RECLOR,"The book To Save the Earth is so persuasive that no one who reads it can fail to heed its environmentalist message. Members of the Earth Association have given away 2, 000 copies in the last month. Thus the Earth Association can justly claim credit for at least 2, 000 people in one month converted to the environmentalist cause.",Which one of the following is an assumption on which the argument depends?,"['A. No other environmental organization gave away copies of To Save the Earth during the month in which the Earth Association gave away its 2, 000 copies.', 'B. The copies of To Save the Earth given away by members of the Earth Association were printed on recycled paper.', 'C. Every recipient of To Save the Earth will embrace the environmental program advocated by the Earth Association.', 'D. None of those who received To Save the Earth from a member of the Earth Association were already committed to the environmentalist cause when they received this book.']",D,"Read the following context:The book To Save the Earth is so persuasive that no one who reads it can fail to heed its environmentalist message. Members of the Earth Association have given away 2, 000 copies in the last month. Thus the Earth Association can justly claim credit for at least 2, 000 people in one month converted to the environmentalist cause.Now please respond:Which one of the following is an assumption on which the argument depends?",
358,RECLOR,Anyone who believes in extraterrestrials believes in UFOs. But the existence of UFOs has been conclusively refuted. Ttherefore a belief in extraterrestrials is false as well.,Which one of the following arguments contains flawed reasoning most similar to that in the argument above?,"['A. Anyone who believes in unicorns believes in centaurs. But it has been conclusively proven that there is no such thing as a unicorn, so a belief in centaurs is mistaken as well.', 'B. Anyone who believes in unicorns believes in centaurs. But it has been demonstrated that there are no centaurs, so there are no unicorns either.', 'C. Anyone who believes in unicorns believes in centaurs. But you do not believe in centaurs, so you do not believe in unicorns either.', 'D. Anyone who believes in unicorns believes in centaurs. But you do not believe in unicorns, so you do not believe in centaurs either.']",B,Read the following context:Anyone who believes in extraterrestrials believes in UFOs. But the existence of UFOs has been conclusively refuted. Ttherefore a belief in extraterrestrials is false as well.Now please respond:Which one of the following arguments contains flawed reasoning most similar to that in the argument above?,
359,RECLOR,"Modern physicians often employ laboratory tests, in addition to physical examinations, in order to diagnose diseases accurately. Insurance company regulations that deny coverage for certain laboratory tests ttherefore decrease the quality of medical care provided to patients.",Which one of the following is an assumption that would serve to justify the conclusion above?,"['A. Physical examinations and the uncovered laboratory tests together provide a more accurate diagnosis of many diseases than do physical examinations alone.', 'B. Many physicians generally oppose insurance company regulations that, in order to reduce costs, limit the use of laboratory tests.', 'C. There are some illnesses that experienced physicians can diagnose accurately from physical examination alone.', 'D. Many patients who might benefit from the uncovered laboratory tests do not have any form of health insurance.']",A,"Read the following context:Modern physicians often employ laboratory tests, in addition to physical examinations, in order to diagnose diseases accurately. Insurance company regulations that deny coverage for certain laboratory tests ttherefore decrease the quality of medical care provided to patients.Now please respond:Which one of the following is an assumption that would serve to justify the conclusion above?",
360,RECLOR,"Soil scientists studying the role of compost in horticulture have found that, while compost is useful for building soil structure, it does not supply large enough quantities of the nutrients essential for plant growth to make it a replacement for fertilizer. Many home gardeners, however, have found they can grow healthy and highly productive plants in soil that lacked essential nutrients by enriching the soil with nothing but compost.","Which one of the following, if true, most helps to explain the discrepant findings of the soil scientists and the home gardeners?","[""A. Most plants grown in home gardens and in scientists' test plots need a favorable soil structure, as well as essential nutrients, in order to thrive."", 'B. The findings of soil scientists who are employed by fertilizer manufacturers do not differ widely from those of scientists employed by the government or by universities.', 'C. Some of the varieties of plants grown by home gardeners require greater quantities of nutrients in order to be healthy than do the varieties of plants generally grown by the soil scientists in test plots.', 'D. Compost used in research projects is usually made from leaves and grass clippings only, whereas compost used in home gardens is generally made from a wide variety of ingredients.']",D,"Read the following context:Soil scientists studying the role of compost in horticulture have found that, while compost is useful for building soil structure, it does not supply large enough quantities of the nutrients essential for plant growth to make it a replacement for fertilizer. Many home gardeners, however, have found they can grow healthy and highly productive plants in soil that lacked essential nutrients by enriching the soil with nothing but compost.Now please respond:Which one of the following, if true, most helps to explain the discrepant findings of the soil scientists and the home gardeners?",
361,RECLOR,"Magazine editor: I know that some of our regular advertisers have been pressuring us to give favorable mention to their products in our articles, but they should realize that for us to yield to their wishes would actually be against their interests. To remain an effective advertising vehicle we must have loyal readership, and we would soon lose that readership if our readers suspect that our editorial integrity has been compromised by pandering to advertisers. Advertising-sales director: You underestimate the sophistication of our readers. They recognize that the advertisements we carry are not articles, so their response to the advertisements has never depended on their opinion of the editorial integrity of the magazine as a whole.",Which one of the following is the most accurate assessment of the advertising-sales director's argument as a response to the magazine editor's argument?,"[""A. It succeeds because it undermines the editor's claim about how the magazine's editorial integrity would be affected by allowing advertisers to influence articles."", ""B. It fails because the editor's argument does not depend on any assumption about readers' response to the advertisements they see in the magazine."", ""C. It succeeds because it shows that the editor's argument depends on an unwarranted assumption about factors affecting an advertisement's effectiveness."", ""D. It fails because it is based on a misunderstanding of the editor's view about how readers respond to advertisements they see in the magazine.""]",B,"Read the following context:Magazine editor: I know that some of our regular advertisers have been pressuring us to give favorable mention to their products in our articles, but they should realize that for us to yield to their wishes would actually be against their interests. To remain an effective advertising vehicle we must have loyal readership, and we would soon lose that readership if our readers suspect that our editorial integrity has been compromised by pandering to advertisers. Advertising-sales director: You underestimate the sophistication of our readers. They recognize that the advertisements we carry are not articles, so their response to the advertisements has never depended on their opinion of the editorial integrity of the magazine as a whole.Now please respond:Which one of the following is the most accurate assessment of the advertising-sales director's argument as a response to the magazine editor's argument?",
362,RECLOR,"Plumb-Ace advertises that its plumbers are more qualified than plumbers at any other major plumbing firm in the region because Plumb-Ace plumbers must complete a very difficult certification process. Plumb-Ace plumbers may or may not be more qualified, but clearly the certification process is not very difficult, because nearly everyone who takes the written portion of the certification exam passes it very easily.",The reasoning in the argument is flawed in that it,"['A. takes for granted that plumbers are not qualified unless they complete some certification process', 'B. presumes that since one part of a whole lacks a certain characteristic, the whole must lack that characteristic as well', ""C. overlooks the possibility that plumbers at other firms in the region complete certification processes that are even easier than that completed by Plumb-Ace's plumbers"", 'D. infers that a claim is false on the grounds that an inadequate argument has been given for that claim']",B,"Read the following context:Plumb-Ace advertises that its plumbers are more qualified than plumbers at any other major plumbing firm in the region because Plumb-Ace plumbers must complete a very difficult certification process. Plumb-Ace plumbers may or may not be more qualified, but clearly the certification process is not very difficult, because nearly everyone who takes the written portion of the certification exam passes it very easily.Now please respond:The reasoning in the argument is flawed in that it",
363,RECLOR,"A technology company plans to develop a prototype laptop that uses iris scanners that can distinguish one user from another. The inventor of this laptop claims that it will reduce insurance and security costs at offices, as only authorized users will be able to turn on the laptop, making it a less appealing target for thieves.","Which of the following, if true, most supports the company's implementing its plan to develop the prototype?","['A. Colored contacts allow people to change their eye color, without altering any of the other characteristics of their iris.', 'B. Insurance and security companies provide other services to companies in addition to protecting laptops.', ""C. There is considerable variation in the color and patterns present in most people's irises."", 'D. In-person security services will not suffer from technological glitches when allowing access to laptops.']",C,"Read the following context:A technology company plans to develop a prototype laptop that uses iris scanners that can distinguish one user from another. The inventor of this laptop claims that it will reduce insurance and security costs at offices, as only authorized users will be able to turn on the laptop, making it a less appealing target for thieves.Now please respond:Which of the following, if true, most supports the company's implementing its plan to develop the prototype?",
364,RECLOR,"Any popular television series that is groundbreaking is critically acclaimed. But not all popular television series are critically acclaimed. Thus, not all popular television series are groundbreaking.",The pattern of reasoning in the argument above is most similar to that in which one of the following arguments?,"['A. Mr. Schwartz is polite to anyone who is polite to him. So, since all of his colleagues are polite to him, it must be that he is polite to all his colleagues.', 'B. If articles use specialized technical terminology, they are not widely read. So, since all academic works use specialized technical terminology, articles are not widely read if they are academic works.', ""C. Professor Attah gives students high grades if she thinks their work is greatly improved. So, since she gives some of her students high grades, she thinks those students' work is greatly improved."", 'D. If a biography is unbiased, it contains embarrassing facts about its subject. So, since not all biographies contain embarrassing facts about their subjects, not all biographies are unbiased.']",D,"Read the following context:Any popular television series that is groundbreaking is critically acclaimed. But not all popular television series are critically acclaimed. Thus, not all popular television series are groundbreaking.Now please respond:The pattern of reasoning in the argument above is most similar to that in which one of the following arguments?",
