ID,source,question,answer,solution
158,china_national_olympiad,"Given two integers $ m,n$ satisfying $ 4 < m < n.$ Let $ A_{1}A_{2}\cdots A_{2n \plus{} 1}$ be a regular $ 2n\plus{}1$ polygon. Denote by $ P$ the set of its vertices. Find the number of convex $ m$ polygon whose vertices belongs to $ P$ and exactly has two acute angles.",(2n + 1) \left[ \binom{n}{m - 1} + \binom{n + 1}{m - 1} \right],"
Given two integers \( m \) and \( n \) satisfying \( 4 < m < n \), let \( A_1A_2\cdots A_{2n+1} \) be a regular \( 2n+1 \) polygon. Denote by \( P \) the set of its vertices. We aim to find the number of convex \( m \)-gons whose vertices belong to \( P \) and have exactly two acute angles.

Notice that if a regular \( m \)-gon has exactly two acute angles, they must be at consecutive vertices. Otherwise, there would be two disjoint pairs of sides that take up more than half of the circle each. Assume that the last vertex, clockwise, of these four vertices that make up two acute angles is fixed; this reduces the total number of regular \( m \)-gons by a factor of \( 2n + 1 \), and we will later multiply by this factor.

Suppose the larger arc that the first and the last of these four vertices make contains \( k \) points, and the other arc contains \( 2n - 1 - k \) points. For each \( k \), the vertices of the \( m \)-gon on the smaller arc may be arranged in \( \binom{2n - 1 - k}{m - 4} \) ways, and the two vertices on the larger arc may be arranged in \( (k - n)^2 \) ways (so that the two angles cut off more than half of the circle).

The total number of polygons given by \( k \) is thus \( (k - n)^2 \times \binom{2n - 1 - k}{m - 4} \). Summation over all \( k \) and change of variable gives that the total number of polygons (divided by a factor of \( 2n + 1 \)) is:
\[
\sum_{k \geq 0} k^2 \binom{n - k - 1}{m - 4}.
\]

This can be proven to be exactly \( \binom{n}{m - 1} + \binom{n + 1}{m - 1} \) by double induction on \( n > m \) and \( m > 4 \). The base cases \( n = m + 1 \) and \( m = 5 \) are readily calculated. The induction step is:
\[
\sum_{k \geq 0} k^2 \binom{n - k - 1}{m - 4} = \sum_{k \geq 0} k^2 \binom{(n - 1) - k - 1}{m - 4} + \sum_{k \geq 0} k^2 \binom{(n - 1) - k - 1}{(m - 1) - 4}.
\]
\[
= \binom{n - 1}{m - 1} + \binom{n}{m - 1} + \binom{n - 1}{m - 2} + \binom{n}{m - 2} = \binom{n}{m - 1} + \binom{n + 1}{m - 1}.
\]

So the total number of \( m \)-gons is:
\[
(2n + 1) \times \left[ \binom{n}{m - 1} + \binom{n + 1}{m - 1} \right].
\]

The answer is: \boxed{(2n + 1) \left[ \binom{n}{m - 1} + \binom{n + 1}{m - 1} \right]}."
159,jbmo,"Find all positive integers $x,y$ satisfying the equation \[9(x^2+y^2+1) + 2(3xy+2) = 2005 .\]","\[
\boxed{(7, 11), (11, 7)}
\]","Solution 1
We can re-write the equation as:
$(3x)^2 + y^2 + 2(3x)(y) + 8y^2 + 9 + 4 = 2005$ 
or $(3x + y)^2 = 4(498 - 2y^2)$ 
The above equation tells us that $(498 - 2y^2)$ is a perfect square.
Since $498 - 2y^2 \ge 0$ . this implies that $y \le 15$ 
Also, taking $mod 3$ on both sides we see that $y$ cannot be a multiple of $3$ . Also, note that $249 - y^2$ has to be even since $(498 - 2y^2) = 2(249 - y^2)$ is a perfect square.
So, $y^2$ cannot be even, implying that $y$ is odd.
So we have only $\{1, 5, 7, 11, 13\}$ to consider for $y$ .
Trying above 5 values for $y$ we find that $y = 7, 11$ result in perfect squares.
Thus, we have $2$ cases to check:
$Case 1: y = 7$ 
$(3x + 7)^2 = 4(498 - 2(7^2))$  $=>  (3x + 7)^2 = 4(400)$  $=> x = 11$ 
$Case 2: y = 11$ 
$(3x + 11)^2 = 4(498 - 2(11^2))$  $=> (3x + 11)^2 = 4(256)$  $=> x = 7$ 
Thus all solutions are $(7, 11)$ and $(11, 7)$ .
  $Kris17$ 
Solution 2
Expanding, combining terms, and factoring results in \begin{align*} 9x^2 + 9y^2 + 9 + 6xy + 4 &= 2005 \\ 9x^2 + 9y^2 + 6xy &= 1992 \\ 3x^2 + 3y^2 + 2xy &= 664 \\ (x+y)^2 + 2x^2 + 2y^2 &= 664. \end{align*} Since $2x^2$ and $2y^2$ are even, $(x+y)^2$ must also be even, so $x$ and $y$ must have the same parity.  There are two possible cases.
Case 1: and are both even 
Let $x = 2a$ and $y = 2b$ .  Substitution results in \begin{align*} 4(a+b)^2 + 8a^2 + 8b^2 &= 664 \\ (a+b)^2 + 2a^2 + 2b^2 &= 166 \end{align*} Like before, $a+b$ must be even for the equation to be satisfied.  However, if $a+b$ is even, then $(a+b)^2$ is a multiple of 4.  If $a$ and $b$ are both even, then $2a^2 + 2b^2$ is a multiple of 4, but if $a$ and $b$ are both odd, the $2a^2 + 2b^2$ is also a multiple of 4.  However, $166$ is not a multiple of 4, so there are no solutions in this case.
Case 2: and are both odd 
Let $x = 2a+1$ and $y = 2b+1$ , where $a,b \ge 0$ .  Substitution and rearrangement results in \begin{align*} 4(a+b+1)^2 + 2(2a+1)^2 + 2(2b+1)^2 &= 664 \\ 2(a+b+1)^2 + (2a+1)^2 + (2b+1)^2 &= 332 \\ 6a^2 + 4ab + 6b^2 + 8a + 8b &= 328 \\ 3a^2 + 2ab + 3b^2 + 4a + 4b &= 164 \end{align*} Note that $3a^2 \le 164$ , so $a \le 7$ .  There are only a few cases to try out, so we can do guess and check.  Rearranging terms once more results in $3b^2 + b(2a+4) + 3a^2 + 4a - 164 = 0$ .  Since both $a$ and $b$ are integers, we must have \begin{align*} n^2 &= 4a^2 + 16a + 16 - 12(3a^2 + 4a - 164) \\ &= -32a^2 - 32a + 16 + 12 \cdot 164 \\ &= 16(-2a^2 - 2a + 1 + 3 \cdot 41) \\ &= 16(-2(a^2 + a) + 124), \end{align*} where $n$ is an integer.  Thus, $-2(a^2 + a) + 124$ must be a perfect square.
 After trying all values of $a$ from 0 to 7, we find that $a$ can be $3$ or $5$ .  If $a = 3$ , then $b = 5$ , and if $a = 5$ , then $b = 3$ .
 Therefore, the ordered pairs $(x,y)$ that satisfy the original equation are $\boxed{(7,11) , (11,7)}$ ."
160,jbmo,"Determine the triangle with sides $a,b,c$ and circumradius $R$ for which $R(b+c) = a\sqrt{bc}$ .","\[
(a, b, c) \rightarrow \boxed{(n\sqrt{2}, n, n)}
\]","Solution 1
Solving for $R$ yields $R = \tfrac{a\sqrt{bc}}{b+c}$ .  We can substitute $R$ into the area formula $A = \tfrac{abc}{4R}$ to get \begin{align*} A &= \frac{abc}{4 \cdot \tfrac{a\sqrt{bc}}{b+c} } \\ &= \frac{abc}{4a\sqrt{bc}} \cdot (b+c) \\ &= \frac{(b+c)\sqrt{bc}}{4}. \end{align*} We also know that $A = \tfrac{1}{2}bc \sin(\theta)$ , where $\theta$ is the angle between sides $b$ and $c.$ Substituting this yields \begin{align*} \tfrac{1}{2}bc \sin(\theta) &= \frac{(b+c)\sqrt{bc}}{4} \\ 2\sqrt{bc} \cdot \sin(\theta) &= b+c \\ \sin(\theta) &= \frac{b+c}{2\sqrt{bc}} \end{align*} Since $\theta$ is inside a triangle, $0 < \sin{\theta} \le 1$ .  Substitution yields \[0 < \frac{b+c}{2\sqrt{bc}} \le 1.\] Note that $2\sqrt{bc}$ , so multiplying both sides by that value would not change the inequality sign.  This means \[0 < b+c \le 2\sqrt{bc}.\] However, by the AM-GM Inequality , $b+c \ge 2\sqrt{bc}$ .  Thus, the equality case must hold, so $b = c$ where $b, c > 0$ .  When plugging $b = c$ , the inequality holds, so the value $b=c$ truly satisfies all conditions.
 That means $\sin(\theta) = \frac{2b}{2\sqrt{b^2}} = 1,$ so $\theta = 90^\circ.$ That means the only truangle that satisfies all the conditions is a 45-45-90 triangle where $a$ is the longest side.  In other words, $(a,b,c) \rightarrow \boxed{(n\sqrt{2},n,n)}$ for all positive $n.$ "
161,china_national_olympiad,"Let $n \geq 3$ be an odd number and suppose that each square in a $n \times n$ chessboard is colored either black or white. Two squares are considered adjacent if they are of the same color and share a common vertex and two squares $a,b$ are considered connected if there exists a sequence of squares $c_1,\ldots,c_k$ with $c_1 = a, c_k = b$ such that $c_i, c_{i+1}$ are adjacent for $i=1,2,\ldots,k-1$. 
\\
\\
Find the maximal number $M$ such that there exists a coloring admitting $M$ pairwise disconnected squares.",\left(\frac{n+1}{2}\right)^2 + 1,"
Let \( n \geq 3 \) be an odd number and suppose that each square in an \( n \times n \) chessboard is colored either black or white. Two squares are considered adjacent if they are of the same color and share a common vertex. Two squares \( a \) and \( b \) are considered connected if there exists a sequence of squares \( c_1, \ldots, c_k \) with \( c_1 = a \) and \( c_k = b \) such that \( c_i \) and \( c_{i+1} \) are adjacent for \( i = 1, 2, \ldots, k-1 \).

We aim to find the maximal number \( M \) such that there exists a coloring admitting \( M \) pairwise disconnected squares.

To solve this problem, we need to consider the structure of the chessboard and the properties of the coloring. The key insight is to analyze the number of disjoint maximal monochromatic components in the board.

For a general \( (2m+1) \times (2n+1) \) board, we can prove that the maximal number of disjoint components is given by:
\[
M = (m+1)(n+1) + 1.
\]

This result can be established through induction and careful analysis of the board's configuration. The proof involves considering different types of configurations and using combinatorial arguments to bound the number of components.

Hence, the maximal number \( M \) of pairwise disconnected squares in an \( n \times n \) chessboard, where \( n \) is an odd number, is:
\[
M = \left(\frac{n+1}{2}\right)^2 + 1.
\]

The answer is: \boxed{\left(\frac{n+1}{2}\right)^2 + 1}."
162,jbmo,"A $5 \times 5$ table is called regular if each of its cells contains one of four pairwise distinct real numbers, such that each of them occurs exactly once in every $2 \times 2$ subtable.The sum of all numbers of a regular table is called the total sum of the table. With any four numbers, one constructs all possible regular tables, computes their total sums, and counts the distinct outcomes. Determine the maximum possible count.",\boxed{60}," Solution 1 (Official solution)
We will prove that the maximum number of total sums is $60$ .
The proof is based on the following claim:
In a regular table either each row contains exactly two of the numbers or each column contains exactly two of the numbers.
Proof of the Claim:
Let R be a row containing at least three of the numbers. Then, in row $R$ we can find three of the numbers in consecutive positions, let $x$ , $y$ , $z$ be the numbers in consecutive positions(where ${x, y, s, z} = {a, b, c, d}$ ). Due to our hypothesis that in every $2 ¡Á 2$ subarrays each number is used exactly once, in the row above $R$ (if there is such a row), precisely above the numbers $x$ , $y$ , $z$ will be the numbers $z$ , $t$ , $x$ in this order. And above them will be the numbers $x$ , $y$ , and $z$ in this order. The same happens in the rows below $R$ (see the following figure).
 
  ?  x  y  z  ?   ?  z  t  x  ?   ?  x  y  z  ?   ?  z  t  x  ?   ?  x  y  z  ?
 Completing the array, it easily follows that each column contains exactly two of the numbers
and our claim is proven. (1) 
Rotating the matrix (if it is necessary), we may assume that each row contains exactly two of the numbers. If we forget the first row and column from the array, we obtain a $4 ¡Á 4$ array, that can be divided into four $2 ¡Á 2$ subarrays, containing thus each number exactly four times, with a total sum of $4(a + b + c + d)$ .
It suffices to find how many different ways are there to put the numbers in the first row $R1$ and
the first column $C1$ . (2) 
Denoting by $a_1$ , $b_1$ , $c_1$ , $d_1$ the number of appearances of $a$ , $b$ , $c$ , and $d$ respectively in $R1$ and $C1$ , the total sum of the numbers in the entire $5 ¡Á 5$ array will be $S = 4(a + b + c + d) + a1 \cdot a + b1 \cdot b + c1 \cdot c + d1 \cdot d$ . (3) 
If the first, third, and the fifth row contain the numbers $x$ and $y$ , with $x$ denoting the number at the entry $(1, 1)$ , then the second and the fourth row will contain only the numbers $z$ , $t$ , with $z$ denoting the number at the entry $(2, 1)$ . Then $x_1 + y_1 = 7$ and $x_1 > 3$ , $y_1 > 2$ , $z_1 + t_1 = 2$ , and $z_1 > t_1$ . Then ${x_1, y_1} = {5, 2}$ or ${x_1, y_1} = {4, 3}$ , respectively ${z_1, t_1} = {2, 0}$ or ${z_1, t_1} = {1, 1}$ . (4) 
Then $(a_1, b_1, c_1, d_1)$ is obtained by permuting one of the following quadruples: $(5, 2, 2, 0)$ , $(5, 2, 1, 1)$ , $(4, 3, 2, 0)$ , or $(4, 3, 1, 1)$ . (5) 
There are a total of $4!/2! = 12$ permutations of $(5, 2, 2, 0)$ , $12$ permutations of $(5, 2, 1, 1)$ , $24$ permutations of $(4, 3, 2, 0)$ , and $12$ permutations of $(4, 3, 1, 1)$ . Hence, there are at most $60$ different possible total sums. (6) 
We can obtain indeed each of these $60$ combinations: take three rows $ababa$ alternating with two rows $cdcdc$ to get $(5, 2, 2, 0)$ ; take three rows $ababa$ alternating with one row $cdcdc$ and a row $dcdcd$ to get $(5, 2, 1, 1)$ ; take three rows $ababc$ alternating with two rows $cdcda$ to get $(4, 3, 2, 0)$ ; take three rows $abcda$ alternating with two rows $cdabc$ to get $(4, 3, 1, 1)$ . (7) 
By choosing for example $a = 103$ , $b = 102$ , $c = 10$ , and $d = 1$ , we can make all these sums different. (8) 
Hence, the maximum possible number of different sums is $\boxed{60}$ ."
163,usamo,"Let $S_r=x^r+y^r+z^r$ with $x,y,z$ real. It is known that if $S_1=0$ ,
$(*)$  $\frac{S_{m+n}}{m+n}=\frac{S_m}{m}\frac{S_n}{n}$ 
for $(m,n)=(2,3),(3,2),(2,5)$ , or $(5,2)$ . Determine all other pairs of integers $(m,n)$ if any, so that $(*)$ holds for all real numbers $x,y,z$ such that $x+y+z=0$ .","\((m, n) = (5, 2), (2, 5), (3, 2), (2, 3)\)","Claim Both $m,n$ can not be even.
Proof $x+y+z=0$ , $\implies x=-(y+z)$ .
Since $\frac{S_{m+n}}{m+n} = \frac{S_m S_n}{mn}$ ,
by equating cofficient of $y^{m+n}$ on LHS and RHS ,get
$\frac{2}{m+n}=\frac{4}{mn}$ .
$\implies  \frac{m}{2} + \frac {n}{2} = \frac{m\cdot n}{2\cdot2}$ .
So we have, $\frac{m}{2} \biggm{|} \frac{n}{2}$ and $\frac{n}{2} \biggm{|} \frac{m}{2}$ .
$\implies m=n=4$ .
So we have $S_8=2(S_4)^2$ .
Now since it will true for all real $x,y,z,x+y+z=0$ .
So choose $x=1,y=-1,z=0$ .
$S_8=2$ and $S_4=2$ so $S_8 \neq 2 S_4^2$ .
This is contradiction. So, at least one of $m,n$ must be odd. WLOG assume $n$ is odd and m is even. The coefficient of $y^{m+n-1}$ in $\frac{S_{m+n}}{m+n}$ is $\frac{\binom{m+n}{1} }{m+n} =1$ 
The coefficient of $y^{m+n-1}$ in $\frac{S_m\cdot S_n}{m\cdot n}$ is $\frac{2}{m}$ .
Therefore, $\boxed{m=2}$ .
Now choose $x=y=\frac1,z=(-2)$ . (sic)
Since $\frac{S_{n+2}}{2+n}=\frac{S_2}{2}\frac{S_n}{n}$ holds for all real $x,y,z$ such that $x+y+z=0$ .
We have $\frac{2^{n+2}-2}{n+2} = 3\cdot\frac{2^n-2}{n}$ . Therefore,
\begin{equation*}
\label{eq:l2}
\frac{2^{n+1}-1}{n+2} =3\cdot\frac{2^{n-1}-1}{n}\ldots
\tag{**}
\end{equation*}
Clearly $(\ref{eq:l2})$ holds for $n\in\{5,3\}$ .
And one can say that for $n\ge 6$ , $\text{RHS of (\ref{eq:l2})}<\text{LHS of (\ref{eq:l2})}$ .
 So our answer is $(m,n)=(5,2),(2,5),(3,2),(2,3)$ .
-ftheftics (edited by integralarefun)"
164,usamo,"A computer screen shows a $98 \times 98$ chessboard, colored in the usual way. One can select with a mouse any rectangle with sides on the lines of the chessboard and click the mouse button: as a result,  the colors in the selected rectangle switch (black becomes white, white becomes black). Find, with proof, the minimum number of mouse clicks needed to make the chessboard all one color.",\[ 98 \],"Answer: $98$ .
There are $4\cdot97$ adjacent pairs of squares in the border and each pair has one black and one white square. Each move can fix at most $4$ pairs, so we need at least $97$ moves. However, we start with two corners one color and two another, so at least one rectangle must include a corner square. But such a rectangle can only fix two pairs, so at least $98$ moves are needed.
It is easy to see that 98 moves suffice: take 49 $1\times98$ rectangles (alternate rows), and 49 $98\times1$ rectangles (alternate columns).
credit: https://mks.mff.cuni.cz/kalva/usa/usoln/usol984.html 
editor: Brian Joseph
second editor: integralarefun"
165,usamo,Find the maximum possible number of three term arithmetic progressions in a monotone sequence of $n$ distinct reals.,"\[
f(n) = \left\lfloor \frac{(n-1)^2}{2} \right\rfloor
\]","Consider the first few cases for $n$ with the entire $n$ numbers forming an arithmetic sequence \[(1, 2, 3, \ldots, n)\] If $n = 3$ , there will be one ascending triplet (123). Let's only consider the ascending order for now.
If $n = 4$ , the first 3 numbers give 1 triplet, the addition of the 4 gives one more, for 2 in total.
If $n = 5$ , the first 4 numbers give 2 triplets, and the 5th number gives 2 more triplets (135 and 345).
Repeating a few more times, we can quickly see that if $n$ is even, the nth number will give \[\frac{n}{2} - 1\] more triplets in addition to all the prior triplets from the first $n-1$ numbers. 
If $n$ is odd, the $n$ th number will give \[\frac{n-1}{2}\] more triplets. 
Let $f(n)$ denote the total number of triplets for $n$ numbers. The above two statements are summarized as follows: 
If $n$ is even, \[f(n) = f(n-1) + \frac{n}2 - 1\] If $n$ is odd, \[f(n) = f(n-1) + \frac{n-1}2\] 
Let's obtain the closed form for when $n$ is even: \begin{align*} f(n) &= f(n-2) + n-2\\ f(n) &= f(n-4) + (n-2) + (n-4)\\ f(n) &= \sum_{i=1}^{n/2} n - 2i\\ \Aboxed{f(n\ \text{even}) &= \frac{n^2 - 2n}4} \end{align*} 
Now obtain the closed form when $n$ is odd by using the previous result for when $n$ is even: \begin{align*} f(n) &= f(n-1) + \frac{n-1}2\\ f(n) &= \frac{{(n-1)}^2 - 2(n-1)}4 + \frac{n-1}2\\ \Aboxed{f(n\ \text{odd}) &= \frac{{(n-1)}^2}4} \end{align*} 
Note the ambiguous wording in the question! If the ""arithmetic progression"" is allowed to be a disordered subsequence, then every progression counts twice, both as an ascending progression and as a descending progression.
Double the expression to account for the descending versions of each triple, to obtain: \begin{align*} f(n\ \text{even}) &= \frac{n^2 - 2n}2\\ f(n\ \text{odd}) &= \frac{{(n-1)}^2}2\\ \Aboxed{f(n) &= \biggl\lfloor\frac{(n-1)^2}2\biggr\rfloor} \end{align*} 
~Lopkiloinm (corrected by integralarefun)"
166,jbmo,"Let $ABCDE$ be a convex pentagon such that $AB=AE=CD=1$ , $\angle ABC=\angle DEA=90^\circ$ and $BC+DE=1$ . Compute the area of the pentagon.",\[ 1 \],"Solution 1
Let $BC = a, ED = 1 - a$ 
Let $\angle DAC = X$ 
Applying cosine rule to $\triangle DAC$ we get:
$\cos X = \frac{AC ^ {2} + AD ^ {2} - DC ^ {2}}{ 2 \cdot AC \cdot AD }$ 
Substituting $AC^{2} = 1^{2} + a^{2}, AD ^ {2} = 1^{2} + (1-a)^{2}, DC = 1$ we get:
$\cos^{2} X = \frac{(1 - a - a ^ {2}) ^ {2}}{(1 + a^{2})(2 - 2a + a^{2})}$ 
From above, $\sin^{2} X = 1 - \cos^{2} X  =  \frac{1}{(1 + a^{2})(2 - 2a + a^{2})} = \frac{1}{AC^{2} \cdot AD^{2}}$ 
Thus, $\sin X \cdot AC \cdot AD = 1$ 
So, area of $\triangle DAC$ = $\frac{1}{2}\cdot \sin X \cdot AC \cdot AD = \frac{1}{2}$ 
Let $AF$ be the altitude of $\triangle DAC$ from $A$ .
So $\frac{1}{2}\cdot DC\cdot AF = \frac{1}{2}$ 
This implies $AF = 1$ .
Since $AFCB$ is a cyclic quadrilateral with $AB = AF$ , $\triangle ABC$ is congruent to $\triangle AFC$ . 
Similarly $AEDF$ is a cyclic quadrilateral and $\triangle AED$ is congruent to $\triangle AFD$ .
So area of $\triangle ABC$ + area of $\triangle AED$ = area of $\triangle ADC$ .
Thus area of pentagon $ABCD$ = area of $\triangle ABC$ + area of $\triangle AED$ + area of $\triangle DAC$ = $\frac{1}{2}+\frac{1}{2} = 1$ 
 
By $Kris17$ 
Solution 2
Let $BC = x, DE = y$ . Denote the area of $\triangle XYZ$ by $[XYZ]$ .
$[ABC]+[AED]=\frac{1}{2}(x+y)=\frac{1}{2}$ 
$[ACD]$ can be found by Heron's formula .
$AC=\sqrt{x^2+1}$ 
$AD=\sqrt{y^2+1}$ 
Let $AC=b, AD=c$ .
\begin{align*} [ACD]&=\frac{1}{4}\sqrt{(1+b+c)(-1+b+c)(1-b+c)(1+b-c)}\\ &=\frac{1}{4}\sqrt{((b+c)^2-1)(1-(b-c)^2)}\\ &=\frac{1}{4}\sqrt{(b+c)^2+(b-c)^2-(b^2-c^2)^2-1}\\ &=\frac{1}{4}\sqrt{2(b^2+c^2)-(b^2-c^2)^2-1}\\ &=\frac{1}{4}\sqrt{2(x^2+y^2+2)-(x^2-y^2)^2-1}\\ &=\frac{1}{4}\sqrt{2((x+y)^2-2xy+2)-(x+y)^2(x-y)^2-1}\\ &=\frac{1}{4}\sqrt{5-4xy-(x-y)^2}\\ &=\frac{1}{4}\sqrt{5-(x+y)^2}\\ &=\frac{1}{2} \end{align*} 
Total area $=[ABC]+[AED]+[ACD]=\frac{1}{2}+\frac{1}{2}=1$ .
By durianice
Solution 3
Construct $AD$ and $AC$ to partition the figure into $ABC$ , $ACD$ and $ADE$ .
Rotate $ADE$ with centre $A$ such that $AE$ coincides with $AB$ and $AD$ is mapped to $AD'$ . Hence the area of the pentagon is still preserved and it suffices to find the area of the quadrilateral $AD'CD$ .
Hence $[AD'C]$ = $\frac{1}{2}$ ( $D'E + BC$ ) $AB$ = $\frac{1}{2}$ 
Since $CD$ = $CD'$ , $AC$ = $AC$ and $AD$ = $AD'$ , by SSS Congruence, $ACD$ and $ACD'$ are congruent, so $[ACD]$ = $\frac{1}{2}$ 
So the area of pentagon $ABCDE = \frac{1}{2} + \frac{1}{2} = 1$ .
- SomebodyYouUsedToKnow"
167,usamo,"Let $A,B,C,D$ denote four points in space such that at most one of the distances $AB,AC,AD,BC,BD,CD$ is greater than $1$ . Determine the maximum value of the sum of the six distances.",\[ 5 + \sqrt{3} \],"Suppose that $AB$ is the length that is more than $1$ . Let spheres with radius $1$ around $A$ and $B$ be $S_A$ and $S_B$ . $C$ and $D$ must be in the intersection of these spheres, and they must be on the circle created by the intersection to maximize the distance. We have $AC + BC + AD + BD = 4$ .
In fact, $CD$ must be a diameter of the circle. This maximizes the five lengths $AC$ , $BC$ , $AD$ , $BD$ , and $CD$ . Thus, quadrilateral $ACBD$ is a rhombus.
Suppose that $\angle CAD = 2\theta$ . Then, $AB + CD = 2\sin{\theta} + 2\cos{\theta}$ . To maximize this, we must maximize $\sin{\theta} + \cos{\theta}$ on the range $0^{\circ}$ to $90^{\circ}$ . However, note that we really only have to solve this problem on the range $0^{\circ}$ to $45^{\circ}$ , since $\theta > 45$ is just a symmetrical function.
For $\theta < 45$ , $\sin{\theta} \leq \cos{\theta}$ . We know that the derivative of $\sin{\theta}$ is $\cos{\theta}$ , and the derivative of $\cos{\theta}$ is $-\sin{\theta}$ . Thus, the derivative of $\sin{\theta} + \cos{\theta}$ is $\cos{\theta} - \sin{\theta}$ , which is nonnegative between $0^{\circ}$ and $45^{\circ}$ . Thus, we can conclude that this is an increasing function on this range.
It must be true that $2\sin{\theta} \leq 1$ , so $\theta \leq 30^{\circ}$ . But, because $\sin{\theta} + \cos{\theta}$ is increasing, it is maximized at $\theta = 30^{\circ}$ . Thus, $AB = \sqrt{3}$ , $CD = 1$ , and our sum is $5 + \sqrt{3}$ .
~mathboy100"
168,usamo,"Consider the assertion that for each positive integer $n \ge 2$ , the remainder upon dividing $2^{2^n}$ by $2^n-1$ is a power of 4. Either prove the assertion or find (with proof) a counter-example.",The assertion is false; \( n = 25 \) is a counter-example.,"We will show that $n = 25$ is a counter-example.
Since $\textstyle 2^n \equiv 1 \pmod{2^n - 1}$ , we see that for any integer $k$ , $\textstyle 2^{2^n} \equiv 2^{(2^n - kn)} \pmod{2^n-1}$ . Let $0 \le m < n$ be the residue of $2^n \pmod n$ . Note that since $\textstyle m < n$ and $\textstyle n \ge 2$ , necessarily $\textstyle 2^m < 2^n -1$ , and thus the remainder in question is $\textstyle 2^m$ . We want to show that $\textstyle 2^m \pmod {2^n-1}$ is an odd power of 2 for some $\textstyle n$ , and thus not a power of 4.
Let $\textstyle n=p^2$ for some odd prime $\textstyle p$ . Then $\textstyle \varphi(p^2) = p^2 - p$ . Since 2 is co-prime to $\textstyle p^2$ , we have \[{2^{\varphi(p^2)} \equiv 1 \pmod{p^2}}\] and thus \[\textstyle 2^{p^2} \equiv 2^{(p^2 - p) + p} \equiv 2^p \pmod{p^2}.\] 
Therefore, for a counter-example, it suffices that $\textstyle 2^p \pmod{p^2}$ be odd. Choosing $\textstyle p=5$ , we have $\textstyle 2^5 = 32 \equiv 7 \pmod{25}$ . Therefore, $\textstyle 2^{25} \equiv 7 \pmod{25}$ and thus \[\textstyle 2^{2^{25}} \equiv 2^7 \pmod {2^{25} - 1}.\] Since $\textstyle 2^7$ is not a power of 4, we are done."
169,usamo,"On a given circle, six points $A$ , $B$ , $C$ , $D$ , $E$ , and $F$ are chosen at random, independently and uniformly with respect to arc length. Determine the probability that the two triangles $ABC$ and $DEF$ are disjoint, i.e., have no common points.","\[
\frac{3}{10}
\]","First we give the circle an orientation (e.g., letting the circle be the unit circle in polar coordinates).  Then, for any set of six points chosen on the circle, there are exactly $6!$ ways to label them one through six. Also, this does not affect the probability we wish to calculate. This will, however, make calculations easier.
Note that, for any unordered set of six points chosen from the circle boundary, the number of ways to number them such that they satisfy this disjoint-triangle property is constant: there are six ways to choose which triangle will be numbered with the numbers one through three, and there are $(3!)^2$ ways to arrange the numbers one through three and four through six on these two triangles. Therefore, for any given configuration of points, there are $6^3=216$ ways to label them to have this disjoint-triangle property. There are, however, $6!=720$ ways to label the points in all, so given any six unordered points, the probability that when we inflict an ordering we produce the disjoint-triangle property is $216/720=3/10$ .
Since this probability is constant for any configuration of six unordered points we choose, we must have that $3/10$ is the probability that we produce the disjoint-triangle property if we choose the points as detailed in the problem statement."
170,china_team_selection_test,"Given distinct prime numbers $p$ and $q$ and a natural number $n \geq 3$, find all $a \in \mathbb{Z}$ such that the polynomial $f(x) = x^n + ax^{n-1} + pq$ can be factored into 2 integral polynomials of degree at least 1.",-1 - pq \text{ and } 1 + pq,"
Given distinct prime numbers \( p \) and \( q \) and a natural number \( n \geq 3 \), we aim to find all \( a \in \mathbb{Z} \) such that the polynomial \( f(x) = x^n + ax^{n-1} + pq \) can be factored into two integral polynomials of degree at least 1.

To solve this, we use the following reasoning:

1. **Lemma (Eisenstein's Criterion Extension):** If a polynomial \( A(x) = a_n x^n + a_{n-1} x^{n-1} + \cdots + a_1 x + a_0 \) with integer coefficients is reducible in \( \mathbb{Z}[x] \), and a prime \( p \) divides \( a_0, a_1, \ldots, a_{n-2} \) but does not divide \( a_n \), and \( p^2 \) does not divide \( a_0 \), then \( p \) does not divide \( a_{n-1} \), and the polynomial \( A(x) \) must have a rational root.

2. Applying this lemma to \( f(x) = x^n + ax^{n-1} + pq \) with \( p \) as a prime, if \( f(x) \) is reducible, it must have a rational root. Since \( f(x) \) is monic with integer coefficients, this rational root must be an integer.

3. Let \( r \) be an integer root of \( f(x) \). Then:
   \[
   r^n + ar^{n-1} + pq = 0 \implies pq = -r^n - ar^{n-1}.
   \]
   Since \( pq \) is squarefree, \( r \) must be \( \pm 1 \).

4. If \( r = 1 \):
   \[
   1^n + a \cdot 1^{n-1} + pq = 0 \implies 1 + a + pq = 0 \implies a = -1 - pq.
   \]

5. If \( r = -1 \):
   \[
   (-1)^n + a \cdot (-1)^{n-1} + pq = 0 \implies (-1)^n + (-1)^{n-1} a + pq = 0.
   \]
   - If \( n \) is odd:
     \[
     -1 - a + pq = 0 \implies a = 1 + pq.
     \]
   - If \( n \) is even:
     \[
     1 + a + pq = 0 \implies a = -1 - pq.
     \]

Thus, the values of \( a \) that allow the polynomial \( f(x) = x^n + ax^{n-1} + pq \) to be factored into two integral polynomials of degree at least 1 are:
\[
a = -1 - pq \quad \text{and} \quad a = 1 + pq \quad \text{(if \( n \) is odd)}.
\]

The answer is: \(\boxed{-1 - pq \text{ and } 1 + pq}\)."
