ID,source,question,procedure,answer
227,MINTQA-POP,"Read the following context: ['Sa?ne-et-Loire country France, Sa?ne-et-Loire instance of Department, Sa?ne-et-Loire shares border with C?te-d’Or, Sa?ne-et-Loire capital Macon, Sa?ne-et-Loire located in the administrative territorial entity Bourgogne-Franche-Comté, Sa?ne-et-Loire located in the administrative territorial entity Burgundy, Sa?ne-et-Loire instance of Loire, Sa?ne-et-Loire instance of department, Sa?ne-et-Loire instance of department of France, Sa?ne-et-Loire shares border with Rh?ne, Sa?ne-et-Loire country French, Sa?ne-et-Loire country French of France'] Now please respond: In which country is Sa?ne-et-Loire located?","[['Sa?ne-et-Loire', 'country', 'France']]",France
228,MINTQA-POP,"Read the following context: [""Provence-Alpes-C?te d'Azur shares border with Isère, Provence-Alpes-C?te d'Azur instance of region of France, Provence-Alpes-C?te d'Azur instance of France, Provence-Alpes-C?te d'Azur shares border with Liguria, Provence-Alpes-C?te d'Azur instance of geographic region, Provence-Alpes-C?te d'Azur country French, Provence-Alpes-C?te d'Azur shares border with Piedmont, Provence-Alpes-C?te d'Azur instance of administrative territorial entity, Provence-Alpes-C?te d'Azur capital Marseille, Provence-Alpes-C?te d'Azur contains Hautes-Alpes, Provence-Alpes-C?te d'Azur country France, Provence-Alpes-C?te d'Azur contains Vaucluse, Provence-Alpes-C?te d'Azur country Italian French, Provence-Alpes-C?te d'Azur part of Southern France, Provence-Alpes-C?te d'Azur shares border with Province of Cuneo""] Now please respond: Which country is Provence-Alpes-C?te d'Azur located in?","[[""Provence-Alpes-C?te d'Azur"", 'country', 'France']]",France
229,MINTQA-POP,"Read the following context: ['Louisiana shares border with Arkansas, Louisiana located in the administrative territorial entity Missouri, Louisiana located in the administrative territorial entity American ethnicity, Louisiana instance of U.S. state, Louisiana shares border with Republic of Texas, Louisiana language used Taensa, Louisiana head of government John Bel Edwards, Louisiana language used Creole, Louisiana legislative body Caddo Parish, Louisiana office held by head of government Republican Party, Louisiana publication date 1919, Louisiana legislative body Louisiana House of Representatives, Louisiana located in or next to body of water Gulf of Mexico, Louisiana screenwriter Frances Hodgson Burnett, Louisiana country United States of America, Louisiana legislative body Louisiana State Legislature, Louisiana publication date 1984, Louisiana language used Louisiana Creole, Louisiana cast member Margaret Lindsay, Louisiana office held by head of government governor, Louisiana instance of State, Louisiana located in the administrative territorial entity New Spain, Louisiana cast member John Gallaudet, Louisiana located in the administrative territorial entity Confederate States, Louisiana shares border with Texas, Louisiana located in the administrative territorial entity Kansas, Louisiana located in the administrative territorial entity Pike County, Louisiana legislative body legislature of a constituent state, Louisiana capital Bastrop, Louisiana located in or next to body of water Mississippi River, Louisiana located in or next to body of water Lake Maurepas, Louisiana significant event American Civil War, Louisiana legislative body Calcasieu Parish, Louisiana inception 1699, Louisiana publication date 1947, Louisiana composer Claude Bolling, Louisiana shares border with Mississippi River, Louisiana language used French, Louisiana language used Ewe, Louisiana located in the administrative territorial entity United States of America, Louisiana shares border with Georgia, Louisiana office held by head of government Governor of Louisiana, Louisiana part of Southern United States, Louisiana shares border with Oklahoma, Louisiana ethnic group African Americans, Louisiana shares border with Alabama, Louisiana shares border with New Mexico, Louisiana country U-S-A!, Louisiana instance of list of states and territories of the United States, Louisiana located in the administrative territorial entity American, Louisiana located in the administrative territorial entity Pike County, Louisiana capital Baton Rouge, Louisiana located in or next to body of water Gulf Coast of the United States, Louisiana genre drama film, Louisiana distributed by Paramount Pictures, Louisiana part of Florida Southern College, Louisiana country American ethnicity, Louisiana significant event Hurricane Katrina, Louisiana shares border with Tennessee'] Now please respond: Which country is Louisiana part of?","[['Louisiana', 'country', 'United States of America']]",United States of America
230,MINTQA-POP,"Read the following context: ['Alice Springs located in the administrative territorial entity Tangentyere Council, Alice Springs country of origin South Africa, Alice Springs part of Central Australia, Alice Springs located in the administrative territorial entity Town of Alice Springs, Alice Springs country Australia, Alice Springs twinned administrative body Darwin, Alice Springs animal breed Thoroughbred, Alice Springs located in the administrative territorial entity Northern Territory, Alice Springs instance of electoral unit, Alice Springs instance of cultivar, Alice Springs genre drama film, Alice Springs parent taxon mango, Alice Springs located in the administrative territorial entity Western Australia, Alice Springs original broadcaster Nine Network, Alice Springs narrative location Alice Springs'] Now please respond: In which country is Alice Springs located?","[['Alice Springs', 'country', 'Australia']]",Australia
231,MINTQA-POP,"Read the following context: ['West Coast Eagles headquarters location Perth, West Coast Eagles owned by West Australian Football Commission, West Coast Eagles league Australian Football League, West Coast Eagles home venue Perth Stadium, West Coast Eagles league Victorian Football League, West Coast Eagles home venue Sydney Showground Stadium, West Coast Eagles participant in 2006 AFL Grand Final, West Coast Eagles inception 1986, West Coast Eagles home venue Subiaco Oval, West Coast Eagles sport Australian rules football, West Coast Eagles league AFL, West Coast Eagles league West Australian Football League, West Coast Eagles home venue SCG'] Now please respond: In which league do the West Coast Eagles compete?","[['West Coast Eagles', 'league', 'Australian Football League']]",Australian Football League
232,MINTQA-POP,"Read the following context: ['Arkansas named after Arkansas River, Arkansas located in the administrative territorial entity United States of America, Arkansas head of government Asa Hutchinson, Arkansas mouth of the watercourse Mississippi River, Arkansas publication date 1916, Arkansas cast member Liam Hemsworth, Arkansas shares border with Alabama, Arkansas located in or next to body of water Little Missouri River, Arkansas genre thriller film, Arkansas shares border with Oklahoma, Arkansas located in or next to body of water Arkansas River, Arkansas cast member Michael K. Williams, Arkansas shares border with New Mexico, Arkansas followed by Citrus County, Arkansas performer John Oates, Arkansas instance of U.S. state, Arkansas located in the administrative territorial entity Oklahoma, Arkansas publication date 1987, Arkansas shares border with Illinois, Arkansas genre crime, Arkansas publication date 2018, Arkansas legislative body Arkansas House of Representatives, Arkansas country United States of America, Arkansas shares border with North Carolina, Arkansas shares border with Tennessee, Arkansas part of Southern, Arkansas office held by head of government governor, Arkansas instance of State, Arkansas sport college basketball, Arkansas director Clark Duke, Arkansas shares border with St. Louis, Arkansas legislative body Arkansas General Assembly, Arkansas cast member Vivica A. Fox, Arkansas publication date 2020, Arkansas shares border with Missouri, Arkansas league Southeastern Conference, Arkansas performer The Residents, Arkansas shares border with Iowa, Arkansas shares border with Mississippi, Arkansas publication date 1986, Arkansas shares border with Kentucky, Arkansas tributary Grand River, Arkansas cast member Eden Brolin, Arkansas performer Bruce Hampton, Arkansas highest point Mount Magazine, Arkansas country U-S-A!, Arkansas located in or next to body of water Gulf of Mexico, Arkansas capital Little Rock, Arkansas shares border with Kansas, Arkansas cast member John Malkovich, Arkansas shares border with Texas, Arkansas inception 1911, Arkansas tributary verdigris, Arkansas shares border with Louisiana, Arkansas author John Brandon, Arkansas located in or next to body of water Mississippi River, Arkansas capital Fayetteville, Arkansas cast member Vince Vaughn'] Now please respond: In which country is Arkansas located?","[['Arkansas', 'country', 'United States of America']]",United States of America
233,MINTQA-POP,"Read the following context: ['Nebraska shares border with South Dakota, Nebraska head of government Pete Ricketts, Nebraska legislative body Nebraska Legislature, Nebraska country American ethnicity, Nebraska instance of state, Nebraska instance of ghost town, Nebraska shares border with Wyoming, Nebraska instance of Nebraska, Nebraska inception 1867, Nebraska cast member Bob Odenkirk, Nebraska shares border with Utah, Nebraska located in the administrative territorial entity Union, Nebraska shares border with Missouri, Nebraska cast member Stacy Keach, Nebraska continent North America, Nebraska shares border with Colorado, Nebraska shares border with Kentucky, Nebraska cast member Bruce Dern, Nebraska shares border with Iowa, Nebraska country Texas, Nebraska capital Lincoln, Nebraska capital Omaha, Nebraska instance of U.S. state, Nebraska shares border with Montana, Nebraska publication date 1987, Nebraska part of Midwestern United States, Nebraska country United States of America, Nebraska nominated for Academy Award for Best Writing, Original Screenplay, Nebraska office held by head of government list of governors of Nebraska, Nebraska cast member June Squibb, Nebraska shares border with Kansas, Nebraska located in the administrative territorial entity Nebraska, Nebraska sport American football, Nebraska office held by head of government governor, Nebraska capital Lincoln Capri, Nebraska inception 1905, Nebraska instance of State, Nebraska shares border with Dakota Territory, Nebraska capital Lincoln, Nebraska capital North Platte, Nebraska legislative body legislature of a constituent state, Nebraska publication date 2013, Nebraska instance of territory, Nebraska author George Whitmore, Nebraska language used Czech, Nebraska located in the administrative territorial entity Pickaway County, Nebraska genre comedy drama, Nebraska cast member Will Forte, Nebraska performer Bruce Springsteen, Nebraska nominated for Academy Award for Best Supporting Actress, Nebraska located in the administrative territorial entity United States of America, Nebraska part of the series Walking Dead'] Now please respond: Which country is Nebraska a part of?","[['Nebraska', 'country', 'United States of America']]",United States of America
234,MINTQA-POP,"Read the following context: ['Malappuram district located in the administrative territorial entity Kerala, Malappuram district country India'] Now please respond: Which country is Malappuram district located in?","[['Malappuram district', 'country', 'India']]",India
235,MINTQA-POP,"Read the following context: ['Ultimate Fighting Championship inception November 1993, Ultimate Fighting Championship headquarters location New York City, Ultimate Fighting Championship publisher THQ, Ultimate Fighting Championship headquarters location Nevada, Ultimate Fighting Championship inception 1993, Ultimate Fighting Championship country United Kingdom, Ultimate Fighting Championship founded by Art Davie, Ultimate Fighting Championship country United States of America, Ultimate Fighting Championship headquarters location Las Vegas, Ultimate Fighting Championship owned by Zuffa LLC, Ultimate Fighting Championship country American, Ultimate Fighting Championship country Japan, Ultimate Fighting Championship founded by Dana White, Ultimate Fighting Championship founded by David Isaacs, Ultimate Fighting Championship instance of Promotion, Ultimate Fighting Championship industry mixed martial arts, Ultimate Fighting Championship country Australia, Ultimate Fighting Championship country Canada, Ultimate Fighting Championship owner of UFC Fight Pass'] Now please respond: In which industry does the Ultimate Fighting Championship operate?","[['Ultimate Fighting Championship', 'industry', 'mixed martial arts']]",mixed martial arts
236,MINTQA-POP,"Read the following context: ['Ultimate Fighting Championship inception November 1993, Ultimate Fighting Championship headquarters location New York City, Ultimate Fighting Championship publisher THQ, Ultimate Fighting Championship headquarters location Nevada, Ultimate Fighting Championship inception 1993, Ultimate Fighting Championship country United Kingdom, Ultimate Fighting Championship founded by Art Davie, Ultimate Fighting Championship country United States of America, Ultimate Fighting Championship headquarters location Las Vegas, Ultimate Fighting Championship owned by Zuffa LLC, Ultimate Fighting Championship country American, Ultimate Fighting Championship country Japan, Ultimate Fighting Championship founded by Dana White, Ultimate Fighting Championship founded by David Isaacs, Ultimate Fighting Championship instance of Promotion, Ultimate Fighting Championship industry mixed martial arts, Ultimate Fighting Championship country Australia, Ultimate Fighting Championship country Canada, Ultimate Fighting Championship owner of UFC Fight Pass'] Now please respond: In which country is the Ultimate Fighting Championship based?","[['Ultimate Fighting Championship', 'country', 'United States of America']]",United States of America
237,MINTQA-POP,"Read the following context: [""Boston Celtics home venue TD Garden, Boston Celtics sport Michigan State Spartans men's basketball, Boston Celtics sport basketball, Boston Celtics part of Atlantic Division, Boston Celtics sport National Basketball Association, Boston Celtics sport Duke Blue Devils men's basketball, Boston Celtics league National Basketball Association, Boston Celtics headquarters location Boston, Boston Celtics home venue Boston Garden, Boston Celtics home venue Faneuil Hall, Boston Celtics part of Eastern Conference, Boston Celtics league NBA G League, Boston Celtics league Basketball Association of America""] Now please respond: In which league do the Boston Celtics play?","[['Boston Celtics', 'league', 'National Basketball Association']]",National Basketball Association
238,MINTQA-POP,"Read the following context: ['Missouri instance of U.S. state, Missouri shares border with Illinois, Missouri capital Columbia, Missouri office held by head of government Republican Party, Missouri country American ethnicity, Missouri shares border with Tennessee, Missouri office held by head of government governor, Missouri instance of State, Missouri located in the administrative territorial entity Union, Missouri instance of steamship, Missouri located in or next to body of water Missouri, Missouri located in or next to body of water Mississippi, Missouri tributary Niobrara, Missouri shares border with Kentucky, Missouri shares border with Colorado, Missouri tributary Grand River, Missouri shares border with Iowa, Missouri located in the administrative territorial entity North Dakota, Missouri shares border with Arkansas, Missouri inception 1907, Missouri located in or next to body of water Lake St. Louis, Missouri mouth of the watercourse Mississippi, Missouri located in the administrative territorial entity Missouri, Missouri legislative body Missouri General Assembly, Missouri tributary Yellowstone River, Missouri shares border with Nebraska, Missouri language used Missouri French, Missouri located in or next to body of water Missouri River, Missouri shares border with Minnesota, Missouri located in or next to body of water Wabash River, Missouri head of government Mike Parson, Missouri country United States of America, Missouri located in the administrative territorial entity Nebraska, Missouri contains Bates County, Missouri shares border with Kansas, Missouri legislative body Missouri Senate, Missouri capital Jefferson City, Missouri legislative body Missouri House of Representatives, Missouri shares border with Louisiana, Missouri member of Southeastern Conference, Missouri shares border with Texas, Missouri office held by head of government list of governors of Missouri, Missouri shares border with Nevada, Missouri country American, Missouri located in or next to body of water Mississippi River, Missouri shares border with United, Missouri located in or next to body of water Mississippi embayment, Missouri inception 2012, Missouri mouth of the watercourse Mississippi River, Missouri tributary Yellowstone National Park, Missouri legislative body United States House of Representatives, Missouri shares border with Indiana, Missouri shares border with Oklahoma, Missouri country U-S-A!, Missouri operator United States Navy, Missouri shares border with Ohio'] Now please respond: In which country is Missouri located?","[['Missouri', 'country', 'United States of America']]",United States of America
239,MINTQA-POP,"Read the following context: ['Collingwood Football Club office held by head of the organization President, Collingwood Football Club sport Australian, Collingwood Football Club home venue Melbourne Sports and Entertainment Centre, Collingwood Football Club participant in 1901 VFL season, Collingwood Football Club league AFL Grand Final, Collingwood Football Club participant in grand final, Collingwood Football Club league National Netball League, Collingwood Football Club league Australian Football League, Collingwood Football Club sport netball, Collingwood Football Club country Trinidad and Tobago, Collingwood Football Club sport Australian rules football, Collingwood Football Club home venue Melbourne Cricket Ground, Collingwood Football Club league Victorian Football League, Collingwood Football Club inception 1897, Collingwood Football Club country Netball Australia, Collingwood Football Club home venue Olympic Park Oval, Collingwood Football Club league AFL, Collingwood Football Club home venue Etihad Stadium'] Now please respond: What sport does the Collingwood Football Club participate in?","[['Collingwood Football Club', 'sport', 'Australian rules football']]",Australian rules football
240,MINTQA-POP,"Read the following context: ['Bendigo located in the administrative territorial entity Victoria, Bendigo country Australia, Bendigo animal breed Thoroughbred, Bendigo located in the administrative territorial entity City of Greater Bendigo, Bendigo located in the administrative territorial entity Otago Region, Bendigo located in the administrative territorial entity Victoria, Bendigo league Victorian Football League, Bendigo country Cricket Australia, Bendigo date of birth 1880, Bendigo located in the administrative territorial entity Cricket Victoria, Bendigo country Victoria'] Now please respond: In which country is Bendigo located?","[['Bendigo', 'country', 'Australia']]",Australia
241,MINTQA-POP,"Read the following context: ['Ain instance of Ain, Ain cast member Rachana Narayanankutty, Ain instance of Department, Ain located in or next to body of water Sa?ne, Ain located in the administrative territorial entity Jura, Ain located in the administrative territorial entity Uttar Pradesh, Ain director Sidhartha Siva, Ain located in the administrative territorial entity Rh?ne-Alpes, Ain tributary Saine, Ain country France, Ain located in the administrative territorial entity Auvergne-Rh?ne-Alpes, Ain instance of department of France, Ain shares border with canton Vaud, Ain instance of Au, Ain country India, Ain instance of Auvergne-Rh?ne-Alpes, Ain cast member Musthafa, Ain located in the administrative territorial entity Bourgogne-Franche-Comté, Ain located in the administrative territorial entity France, Ain contains Flaxieu, Ain instance of river, Ain country Iran, Ain publication date 2015, Ain located in the administrative territorial entity Moallem Kalayeh Rural District, Ain named after Ain, Ain capital Bourg-en-Bresse'] Now please respond: Which country is Ain located in?","[['Ain', 'country', 'France']]",France
242,MINTQA-POP,"Read the following context: [""Maryland located in or next to body of water Chesapeake Bay, Maryland shares border with Sussex County, Maryland located in the administrative territorial entity City of Newcastle, Maryland shares border with New York, Maryland located in or next to body of water Wicomico River, Maryland capital Annapolis, Maryland founded by George Calvert, 1st Baron Baltimore, Maryland inception 1788, Maryland shares border with Potomac River, Maryland director Henry King, Maryland located in the administrative territorial entity England, Maryland instance of U.S. state, Maryland shares border with Ohio, Maryland located in or next to body of water South Atlantic states, Maryland located in or next to body of water Charles County, Maryland shares border with Illinois, Maryland legislative body House of Delegates, Maryland located in or next to body of water Monongahela, Maryland genre drama film, Maryland located in or next to body of water Wicomico, Maryland cast member Walter Brennan, Maryland country United States of America, Maryland shares border with North Carolina, Maryland capital Hagerstown, Maryland shares border with Caroline, Maryland instance of proprietary colony, Maryland office held by head of government governor, Maryland shares border with Maryland, Maryland instance of State, Maryland office held by head of government Secretary of State of Maryland, Maryland office held by head of government attorney general, Maryland contains Cecil County, Maryland office held by head of government governor, Maryland located in or next to body of water Susquehanna River, Maryland located in or next to body of water North Branch Potomac River, Maryland shares border with Washington, Maryland country American, Maryland cast member Fay Bainter, Maryland office held by head of government Governor of Maryland, Maryland shares border with West Virginia, Maryland part of Uniform Machine Gun Act, Maryland shares border with Virginia, Maryland legislative body Maryland House of Delegates, Maryland located in or next to body of water Savage River, Maryland located in the administrative territorial entity Otsego County, Maryland located in or next to body of water Atlantic Ocean, Maryland shares border with Pennsylvania, Maryland shares border with New Jersey, Maryland located in or next to body of water St. Mary's County, Maryland located in or next to body of water Anacostia River, Maryland legislative body Maryland Senate, Maryland country Australia, Maryland located in or next to body of water WIC, Maryland capital Baltimore, Maryland shares border with Washington, D.C.""] Now please respond: Which country is Maryland a part of?","[['Maryland', 'country', 'United States of America']]",United States of America
243,MINTQA-POP,"Read the following context: ['Gelderland country Dutch, Gelderland shares border with Kop van Overijssel, Gelderland shares border with Utrecht, Gelderland country Dutch, Gelderland contains Nijmegen, Gelderland shares border with North Rhine-Westphalia, Gelderland instance of province, Gelderland shares border with North Holland, Gelderland shares border with South Holland, Gelderland shares border with Flevoland, Gelderland capital Arnhem, Gelderland located in the administrative territorial entity Dutch, Gelderland located in or next to body of water IJssel, Gelderland shares border with Limburg, Gelderland shares border with North Brabant, Gelderland shares border with Zutphen, Gelderland country Netherlands, Gelderland shares border with Overijssel'] Now please respond: Which country is Gelderland a part of?","[['Gelderland', 'country', 'Netherlands']]",Netherlands
244,MINTQA-POP,"Read the following context: ['Total Nonstop Action Wrestling owner of Global Wrestling Network, Total Nonstop Action Wrestling owner of Raw, Total Nonstop Action Wrestling instance of list of professional wrestling promotions, Total Nonstop Action Wrestling country Japan Japan, Total Nonstop Action Wrestling follows Total Nonstop Action Wrestling, Total Nonstop Action Wrestling industry wrestling, Total Nonstop Action Wrestling instance of Promotion, Total Nonstop Action Wrestling original broadcaster Destination America, Total Nonstop Action Wrestling location of formation Louisville, Total Nonstop Action Wrestling owned by All Elite Wrestling, Total Nonstop Action Wrestling original broadcaster Paramount Network, Total Nonstop Action Wrestling industry professional wrestling, Total Nonstop Action Wrestling headquarters location Nashville, Total Nonstop Action Wrestling production company Total Nonstop Action Wrestling, Total Nonstop Action Wrestling location of formation Columbus, Total Nonstop Action Wrestling country United States of America, Total Nonstop Action Wrestling owner of Impact Wrestling Zone, Total Nonstop Action Wrestling instance of record label, Total Nonstop Action Wrestling developer list of Ubisoft subsidiaries, Total Nonstop Action Wrestling owned by Total Nonstop Action Wrestling, Total Nonstop Action Wrestling owner of Impact Wrestling Home Video, Total Nonstop Action Wrestling owner of Destination America, Total Nonstop Action Wrestling country Japan, Total Nonstop Action Wrestling founded by Jeff Jarrett, Total Nonstop Action Wrestling headquarters location Toronto, Total Nonstop Action Wrestling headquarters location Orlando, Total Nonstop Action Wrestling location of formation New York City, Total Nonstop Action Wrestling owner of TNA+, Total Nonstop Action Wrestling instance of video game, Total Nonstop Action Wrestling owner of TNA Knockout Music'] Now please respond: In which industry does Total Nonstop Action Wrestling operate?","[['Total Nonstop Action Wrestling', 'industry', 'professional wrestling']]",professional wrestling
